Nome;Partido;Estado;Codigo;CD01O054O008776;CD01O081O008795;Lado;tsne-1d-one;tsne-2d-two
AFONSO FLORENCE;PT;Bahia;182;Não;Não Votou;OPOSIÇÃO;0.7764857;-17.899437
VALDEVAN NOVENTA;PSC;Sergipe;183;Sim;Não Votou;GOVERNO;2.8961008;19.14439
BACELAR;Podemos;Bahia;184;Sim;Sim;MINORIA;4.723591;3.6843338
LÍDICE DA MATA;PSB;Bahia;185;Sim;Não Votou;OPOSIÇÃO;2.8961759;19.144384
CLAUDIO CAJADO;PP;Bahia;186;Não;Não Votou;GOVERNO;0.7589184;-17.334948
JOÃO CARLOS BACELAR;PR;Bahia;187;Não;Não;GOVERNO;-17.208496;1.4459482
DANIEL ALMEIDA;PCdoB;Bahia;188;Sim;Sim;OPOSIÇÃO;4.723707;3.685379
ANTONIO BRITO;PSD;Bahia;189;Não;Não;GOVERNO;-17.208519;1.4459617
ABÍLIO SANTANA;PR;Bahia;190;Não;Não;GOVERNO;-17.619015;0.32633987
ADOLFO VIANA;PSDB;Bahia;191;Não;Sim;GOVERNO;2.391101;-10.182941
ARTHUR OLIVEIRA MAIA;DEM;Bahia;192;Não;Não;GOVERNO;-17.041546;0.4798094
CACÁ LEÃO;PP;Bahia;193;Não;Não Votou;GOVERNO;0.7589329;-17.334919
ALEX SANTANA;PDT;Bahia;194;Não;Não;MINORIA;-16.869297;0.95674366
FÉLIX MENDONÇA JÚNIOR;PDT;Bahia;195;Não;Não;MINORIA;-17.208519;1.4459617
CHARLES FERNANDES;PSD;Bahia;196;Não;Não;GOVERNO;-17.619005;0.32633495
IGOR KANNÁRIO;PHS;Bahia;197;Não;Não Votou;GOVERNO;0.7691555;-17.883064
ELMAR NASCIMENTO;DEM;Bahia;198;Não;Não Votou;GOVERNO;1.077024;-17.13073
JOÃO ROMA;PRB;Bahia;199;Não;Não;GOVERNO;-17.61901;0.32634154
LEUR LOMANTO JÚNIOR;DEM;Bahia;200;Sim;Não;GOVERNO;21.239971;13.951297
JOSÉ NUNES;PSD;Bahia;201;Não;Não;GOVERNO;-17.402538;0.8815572
JOSÉ ROCHA;PR;Bahia;203;Não;Não Votou;GOVERNO;1.4489632;-17.147308
JORGE SOLLA;PT;Bahia;204;Abstenção;Obstrução;OPOSIÇÃO;21.20243;-6.834061
MARCELO NILO;PSB;Bahia;205;Sim;Não;OPOSIÇÃO;21.38337;13.882046
OTTO ALENCAR FILHO;PSD;Bahia;206;Não;Não;GOVERNO;-17.619005;0.32634598
PASTOR SARGENTO ISIDÓRIO;Avate;Bahia;207;Não;Sim;MINORIA;2.3911126;-10.183423
MÁRIO NEGROMONTE JR.;PP;Bahia;208;Não;Não;GOVERNO;-17.208504;1.4459639
NELSON PELLEGRINO;PT;Bahia;209;Não;Não Votou;OPOSIÇÃO;0.7825811;-17.898262
PROFESSORA DAYANE PIMENTEL;PSL;Bahia;210;Sim;Não;GOVERNO;21.514175;13.524736
RAIMUNDO COSTA;PR;Bahia;211;Não;Não;GOVERNO;-17.20852;1.4459611
MÁRCIO MARINHO;PRB;Bahia;212;Não;Não;GOVERNO;-16.869297;0.95674294
TITO;Avate;Bahia;214;Não;Não;MINORIA;-17.402538;0.8815592
PAULO AZI;DEM;Bahia;215;Sim;Não;GOVERNO;21.09658;13.143654
RONALDO CARLETTO;PP;Bahia;216;Não;Não;GOVERNO;-17.619028;0.32631934
ZÉ NETO;PT;Bahia;217;Não;Não Votou;OPOSIÇÃO;1.7890522;-17.832724
VALMIR ASSUNÇÃO;PT;Bahia;218;Não;Não Votou;OPOSIÇÃO;1.0770323;-17.130726
WALDENOR PEREIRA;PT;Bahia;219;Sim;Não Votou;OPOSIÇÃO;2.8961663;19.144396
ULDURICO JUNIOR;PPL;Bahia;220;Sim;Não;OPOSIÇÃO;21.216646;13.958814
AÉCIO NEVES;PSDB;Minas Gerais;221;Não;Sim;GOVERNO;2.3906581;-10.183339
ALÊ SILVA;PSL;Minas Gerais;222;Sim;Sim;GOVERNO;4.7235723;3.6853864
ANDRÉ JANONES;Avate;Minas Gerais;223;Não;Não;MINORIA;-17.041544;0.47980943
ÁUREA CAROLINA;PSOL;Minas Gerais;224;Sim;Obstrução;OPOSIÇÃO;20.757526;13.85192
CABO JUNIO AMARAL;PSL;Minas Gerais;225;Sim;Não;GOVERNO;20.671421;13.7376
CHARLLES EVANGELISTA;PSL;Minas Gerais;226;Sim;Não;GOVERNO;20.67142;13.737592
DELEGADO MARCELO FREITAS;PSL;Minas Gerais;227;Sim;Não;GOVERNO;21.413801;13.865355
DIEGO ANDRADE;PSD;Minas Gerais;228;Não;Não;GOVERNO;-17.402538;0.8815593
DR. FREDERICO;Patriota;Minas Gerais;229;Não;Não;MINORIA;-17.402538;0.88155776
EDUARDO BARBOSA;PSDB;Minas Gerais;230;Não;Não;GOVERNO;-17.041542;0.4798139
DIMAS FABIANO;PP;Minas Gerais;231;Não;Não;GOVERNO;-17.619013;0.32634175
BILAC PINTO;DEM;Minas Gerais;232;Não;Não Votou;GOVERNO;0.7826948;-17.898413
DOMINGOS SÁVIO;PSDB;Minas Gerais;233;Não;Não Votou;GOVERNO;1.3888674;-17.11591
EMIDINHO MADEIRA;PSB;Minas Gerais;234;Sim;Não Votou;OPOSIÇÃO;2.8961306;19.14438
MARCELO ARO;PHS;Minas Gerais;236;Não Votou;Não;GOVERNO;21.202166;-6.8340807
MARGARIDA SALOMÃO;PT;Minas Gerais;237;Não;Obstrução;OPOSIÇÃO;-17.61901;0.32634047
FÁBIO RAMALHO;MDB;Minas Gerais;238;Não;Não;GOVERNO;-17.2085;1.4459465
MÁRIO HERINGER;PDT;Minas Gerais;239;Sim;Não;MINORIA;21.446991;13.76035
EUCLYDES PETTERSEN;PSC;Minas Gerais;240;Não;Sim;GOVERNO;2.3907368;-10.183206
FRANCO CARTAFINA;PP;Minas Gerais;241;Sim;Não;GOVERNO;21.297123;13.188859
EROS BIONDINI;PROS;Minas Gerais;242;Não;Não;MINORIA;-17.619028;0.32631972
LINCOLN PORTELA;PR;Minas Gerais;243;Não;Não;GOVERNO;-17.041542;0.4798139
FRED COSTA;Patriota;Minas Gerais;244;Sim;Não;MINORIA;21.45693;13.76337
MISAEL VARELLA;PSD;Minas Gerais;245;Não Votou;Não Votou;GOVERNO;10.85576;-1.1034161
GILBERTO ABRAMO;PRB;Minas Gerais;246;Não;Não;GOVERNO;-17.208498;1.44595
NEWTON CARDOSO JR;MDB;Minas Gerais;247;Não Votou;Não;GOVERNO;21.20226;-6.8340497
GREYCE ELIAS;Avate;Minas Gerais;248;Sim;Não Votou;MINORIA;2.8961189;19.144411
PATRUS ANANIAS;PT;Minas Gerais;249;Sim;Não Votou;OPOSIÇÃO;2.8961542;19.144392
JÚLIO DELGADO;PSB;Minas Gerais;250;Sim;Não;OPOSIÇÃO;21.515425;13.557455
LUIS TIBÉ;Avate;Minas Gerais;251;Não Votou;Não Votou;MINORIA;10.856668;-1.1037829
MAURO LOPES;MDB;Minas Gerais;252;Não;Não;GOVERNO;-18.753115;1.3665012
LEONARDO MONTEIRO;PT;Minas Gerais;253;Não;Obstrução;OPOSIÇÃO;-18.753115;1.3665012
HERCÍLIO COELHO DINIZ;MDB;Minas Gerais;254;Não;Não;GOVERNO;-18.753115;1.3665012
IGOR TIMO;Podemos;Minas Gerais;255;Não;Não;MINORIA;-18.753115;1.3665012
LAFAYETTE DE ANDRADA;PRB;Minas Gerais;256;Não;Não;GOVERNO;-18.753115;1.3665012
LÉO MOTTA;PSL;Minas Gerais;257;Sim;Não;GOVERNO;21.077671;13.982901
LUCAS GONZALEZ;NOVO;Minas Gerais;258;Sim;Sim;GOVERNO;4.723121;3.6852994
PADRE JOÃO;PT;Minas Gerais;259;Não;Não Votou;OPOSIÇÃO;0.7573302;-17.572142
PAULO GUEDES;PT;Minas Gerais;260;Não;Obstrução;OPOSIÇÃO;-18.753115;1.3665012
PINHEIRINHO;PP;Minas Gerais;261;Não Votou;Não;GOVERNO;21.202047;-6.8340907
ROGÉRIO CORREIA;PT;Minas Gerais;262;Não;Não Votou;OPOSIÇÃO;0.78225523;-17.897837
PAULO ABI-ACKEL;PSDB;Minas Gerais;263;Não Votou;Não Votou;GOVERNO;10.854484;-1.103517
TIAGO MITRAUD;NOVO;Minas Gerais;264;Sim;Sim;GOVERNO;4.7239003;3.6848927
VILSON DA FETAEMG;PSB;Minas Gerais;265;Não Votou;Sim;OPOSIÇÃO;6.9891195;0.9308232
ZÉ VITOR;PR;Minas Gerais;266;Não;Não;GOVERNO;-18.753115;1.3665012
STEFANO AGUIAR;PSD;Minas Gerais;267;Não;Não;GOVERNO;-18.753115;1.3665012
RODRIGO DE CASTRO;PSDB;Minas Gerais;268;Não;Não;GOVERNO;-18.753115;1.3665012
ODAIR CUNHA;PT;Minas Gerais;269;Não;Obstrução;OPOSIÇÃO;-18.753115;1.3665012
WELITON PRADO;PROS;Minas Gerais;270;Sim;Sim;MINORIA;4.7233815;3.6855502
ZÉ SILVA;Solidariedade;Minas Gerais;271;Não;Não;MINORIA;-18.753115;1.3665012
REGINALDO LOPES;PT;Minas Gerais;272;Não;Não Votou;OPOSIÇÃO;1.0418328;-17.14514
SUBTENENTE GONZAGA;PDT;Minas Gerais;273;Não;Não;MINORIA;-18.753115;1.3665012
EVAIR VIEIRA DE MELO;PP;Espírito Santo;274;Sim;Não;GOVERNO;20.908972;13.165236
AMARO NETO;PRB;Espírito Santo;275;Não;Não;GOVERNO;-18.753115;1.3665012
DA VITÓRIA;PPS;Espírito Santo;276;Sim;Não Votou;MINORIA;2.8961217;19.144384
DRA. SORAYA MANATO;PSL;Espírito Santo;277;Sim;Não;GOVERNO;20.908924;13.165254
FELIPE RIGONI;PSB;Espírito Santo;278;Sim;Sim;OPOSIÇÃO;4.7230635;3.685483
HELDER SALOMÃO;PT;Espírito Santo;279;Não;Obstrução;OPOSIÇÃO;-18.753115;1.3665012
LAURIETE;PR;Espírito Santo;281;Não;Não;GOVERNO;-18.753115;1.3665012
NORMA AYUB;DEM;Espírito Santo;282;Não;Não;GOVERNO;-18.753115;1.3665012
SERGIO VIDIGAL;PDT;Espírito Santo;283;Sim;Sim;MINORIA;4.723533;3.6841996
ALEXANDRE SERFIOTIS;PSD;Rio de Janeiro;284;Não;Não;GOVERNO;-18.753115;1.3665012
CARLOS JORDY;PSL;Rio de Janeiro;285;Não;Sim;GOVERNO;2.3909829;-10.183113
ALTINEU CÔRTES;PR;Rio de Janeiro;286;Não;Não;GOVERNO;-18.753115;1.3665012
ALESSANDRO MOLON;PSB;Rio de Janeiro;287;Não Votou;Não Votou;OPOSIÇÃO;10.856847;-1.1042025
CHIQUINHO BRAZÃO;Avate;Rio de Janeiro;288;Não;Não;MINORIA;-18.753115;1.3665012
CHRIS TONIETTO;PSL;Rio de Janeiro;289;Não;Não Votou;GOVERNO;1.7499192;-17.422064
AUREO RIBEIRO;Solidariedade;Rio de Janeiro;290;Não;Não;MINORIA;-18.753115;1.3665012
BENEDITA DA SILVA;PT;Rio de Janeiro;291;Não;Não Votou;OPOSIÇÃO;1.0352;-17.148943
CHRISTINO AUREO;PP;Rio de Janeiro;292;Sim;Não Votou;GOVERNO;2.896503;19.144413
CHICO D`ANGELO;PDT;Rio de Janeiro;293;Não;Não;MINORIA;-18.753115;1.3665012
CLARISSA GAROTINHO;PROS;Rio de Janeiro;294;Não;Não Votou;MINORIA;0.7754397;-17.891636
DANIEL SILVEIRA;PSL;Rio de Janeiro;295;Sim;Sim;GOVERNO;4.722925;3.6851144
DANIELA DO WAGUINHO;MDB;Rio de Janeiro;296;Não;Não;GOVERNO;-18.753115;1.3665012
DELEGADO ANTÔNIO FURTADO;PSL;Rio de Janeiro;297;Não;Abstenção;GOVERNO;1.7835535;-17.857265
DR. LUIZ ANTONIO TEIXEIRA JR.;PP;Rio de Janeiro;298;Não;Não;GOVERNO;-18.753115;1.3665012
FELÍCIO LATERÇA;PSL;Rio de Janeiro;299;Sim;Não;GOVERNO;21.319818;13.203444
FLORDELIS;PSD;Rio de Janeiro;300;Não;Não;GOVERNO;-18.753115;1.3665012
GELSON AZEVEDO;PR;Rio de Janeiro;301;Não Votou;Não;GOVERNO;21.202438;-6.834091
GUTEMBERG REIS;MDB;Rio de Janeiro;302;Não;Não;GOVERNO;-18.753115;1.3665012
HELIO LOPES;PSL;Rio de Janeiro;303;Sim;Não;GOVERNO;21.395365;13.85464
GLAUBER BRAGA;PSOL;Rio de Janeiro;304;Não Votou;Obstrução;OPOSIÇÃO;21.202263;-6.8340807
JANDIRA FEGHALI;PCdoB;Rio de Janeiro;305;Sim;Não Votou;OPOSIÇÃO;2.8965244;19.143637
HUGO LEAL;PSD;Rio de Janeiro;306;Não;Não;GOVERNO;-18.753115;1.3665012
JUNINHO DO PNEU;DEM;Rio de Janeiro;308;Não;Não;GOVERNO;-18.753115;1.3665012
LOURIVAL GOMES;PSL;Rio de Janeiro;309;Não;Não;GOVERNO;-18.753115;1.3665012
LUIZ ANTÔNIO CORRÊA;S.Part.;Rio de Janeiro;310;Não;Não;MINORIA;-18.753115;1.3665012
LUIZ LIMA;PSL;Rio de Janeiro;311;Sim;Sim;GOVERNO;4.723347;3.685406
MAJOR FABIANA;PSL;Rio de Janeiro;312;Sim;Não Votou;GOVERNO;2.896576;19.143625
MARCELO CALERO;PPS;Rio de Janeiro;313;Sim;Não;MINORIA;21.508038;13.5253315
PEDRO PAULO;DEM;Rio de Janeiro;314;Não;Não;GOVERNO;-18.753115;1.3665012
MARCELO FREIXO;PSOL;Rio de Janeiro;315;Sim;Obstrução;OPOSIÇÃO;20.678791;13.421737
MÁRCIO LABRE;PSL;Rio de Janeiro;316;Não;Não;GOVERNO;-18.753115;1.3665012
OTONI DE PAULA;PSC;Rio de Janeiro;317;Não;Sim;GOVERNO;2.3905475;-10.183059
PAULO GANIME;NOVO;Rio de Janeiro;318;Sim;Sim;GOVERNO;4.7236977;3.6841805
PAULO RAMOS;PDT;Rio de Janeiro;319;Não;Não;MINORIA;-18.753115;1.3665012
PROFESSOR JOZIEL;PSL;Rio de Janeiro;320;Não;Não Votou;GOVERNO;1.108358;-18.185274
GURGEL;PSL;Rio de Janeiro;321;Sim;Não;GOVERNO;20.90897;13.165237
RODRIGO MAIA;DEM;Rio de Janeiro;322;Art.;Art.;GOVERNO;10.856665;-1.1036242
TALÍRIA PETRONE;PSOL;Rio de Janeiro;323;Sim;Obstrução;OPOSIÇÃO;21.514175;13.524734
VINICIUS FARAH;MDB;Rio de Janeiro;324;Não;Não;GOVERNO;-18.753115;1.3665012
ROSANGELA GOMES;PRB;Rio de Janeiro;325;Não;Não Votou;GOVERNO;1.3116587;-18.177198
WLADIMIR GAROTINHO;PSD;Rio de Janeiro;327;Sim;Não;GOVERNO;20.676842;13.748909
SORAYA SANTOS;PR;Rio de Janeiro;328;Não Votou;Não Votou;GOVERNO;10.856304;-1.1032579
SÓSTENES CAVALCANTE;DEM;Rio de Janeiro;329;Sim;Não Votou;GOVERNO;2.8967798;19.143652
RENATA ABREU;Podemos;São Paulo;330;Sim;Não;MINORIA;20.794107;13.875843
ALEX MANENTE;PPS;São Paulo;331;Sim;Não Votou;MINORIA;2.8964088;19.144411
ABOU ANNI;PSL;São Paulo;332;Sim;Não;GOVERNO;21.452093;13.759158
ADRIANA VENTURA;NOVO;São Paulo;333;Sim;Sim;GOVERNO;4.7235794;3.6846251
ALEXANDRE LEITE;DEM;São Paulo;334;Não Votou;Não;GOVERNO;21.202272;-6.834073
BRUNA FURLAN;PSDB;São Paulo;335;Não;Não Votou;GOVERNO;1.3636034;-18.160542
ARLINDO CHINAGLIA;PT;São Paulo;336;Não;Não Votou;OPOSIÇÃO;1.1000301;-18.186775
ALENCAR SANTANA BRAGA;PT;São Paulo;337;Não;Obstrução;OPOSIÇÃO;-18.753115;1.3665012
CARLOS SAMPAIO;PSDB;São Paulo;338;Não;Não Votou;GOVERNO;1.4095035;-17.121191
ARNALDO JARDIM;PPS;São Paulo;339;Sim;Não Votou;MINORIA;2.8959405;19.14439
ALEXANDRE FROTA;PSL;São Paulo;340;Não;Não;GOVERNO;-18.753115;1.3665012
ALEXANDRE PADILHA;PT;São Paulo;341;Não;Não Votou;OPOSIÇÃO;1.6005266;-17.178762
BALEIA ROSSI;MDB;São Paulo;342;Não Votou;Não;GOVERNO;21.202467;-6.8340607
ALEXIS FONTEYNE;NOVO;São Paulo;343;Sim;Sim;GOVERNO;4.7234387;3.6843123
GUILHERME DERRITE;PP;São Paulo;344;Sim;Não Votou;GOVERNO;2.8963451;19.144386
ELI CORRÊA FILHO;DEM;São Paulo;345;Não;Não;GOVERNO;-18.753115;1.3665012
CAPITÃO AUGUSTO;PR;São Paulo;346;Sim;Não;GOVERNO;21.508013;13.524628
CELSO RUSSOMANNO;PRB;São Paulo;347;Não Votou;Não;GOVERNO;21.202158;-6.8341217
GUILHERME MUSSI;PP;São Paulo;348;Não;Não Votou;GOVERNO;1.3947252;-17.116835
JEFFERSON CAMPOS;PSB;São Paulo;349;Sim;Não;OPOSIÇÃO;21.514175;13.524734
CARLA ZAMBELLI;PSL;São Paulo;350;Sim;Não Votou;GOVERNO;2.8959289;19.144384
CEZINHA DE MADUREIRA;PSD;São Paulo;351;Não Votou;Não;GOVERNO;21.202625;-6.834084
EDUARDO BOLSONARO;PSL;São Paulo;352;Sim;Não;GOVERNO;21.405807;13.299755
EDUARDO CURY;PSDB;São Paulo;353;Sim;Sim;GOVERNO;4.723408;3.6854017
CORONEL TADEU;PSL;São Paulo;354;Sim;Não;GOVERNO;20.90893;13.165252
FAUSTO PINATO;PP;São Paulo;355;Não Votou;Não;GOVERNO;21.202452;-6.834058
DAVID SOARES;DEM;São Paulo;356;Não;Não;GOVERNO;-16.869299;0.95674396
