Nome;Partido;Estado;Codigo;CD01O054O008776;CD01O081O008795;Lado;tsne-1d-one;tsne-2d-two
ENRICO MISASI;PV;São Paulo;357;Sim;Sim;MINORIA;4.723749;3.685886
GENERAL PETERNELLI;PSL;São Paulo;358;Sim;Sim;GOVERNO;4.7224493;3.685366
IVAN VALENTE;PSOL;São Paulo;359;Sim;Obstrução;OPOSIÇÃO;21.345934;13.92437
GILBERTO NASCIMENTO;PSC;São Paulo;360;Não;Não;GOVERNO;-18.753115;1.3665012
GENINHO ZULIANI;DEM;São Paulo;361;Não;Não Votou;GOVERNO;0.7564567;-17.333277
HERCULANO PASSOS;MDB;São Paulo;362;Não;Não;GOVERNO;-18.753115;1.3665012
GUIGA PEIXOTO;PSL;São Paulo;363;Sim;Não;GOVERNO;21.29307;13.185812
JOICE HASSELMANN;PSL;São Paulo;364;Não Votou;Não;GOVERNO;21.202335;-6.834054
JÚNIOR BOZZELLA;PSL;São Paulo;365;Não;Não;GOVERNO;-18.753115;1.3665012
KIM KATAGUIRI;DEM;São Paulo;366;Sim;Não Votou;GOVERNO;2.8962507;19.143671
LUIZ CARLOS MOTTA;PR;São Paulo;367;Sim;Não;GOVERNO;21.405807;13.299755
LUIZ PHILIPPE DE ORLEANS E BRAG;PSL;São Paulo;368;Sim;Não;GOVERNO;20.678768;13.4218
MARCO BERTAIOLLI;PSD;São Paulo;369;Não;Não;GOVERNO;-18.753115;1.3665012
MARCIO ALVINO;PR;São Paulo;370;Sim;Não;GOVERNO;20.94374;13.958338
LUIZA ERUNDINA;PSOL;São Paulo;371;Sim;Sim;OPOSIÇÃO;4.723077;3.6854367
PAULO PEREIRA DA SILVA;Solidariedade;São Paulo;372;Não;Não;MINORIA;-18.753115;1.3665012
MARCOS PEREIRA;PRB;São Paulo;373;Não;Não Votou;GOVERNO;0.78224915;-17.897827
MARIA ROSAS;PRB;São Paulo;374;Não;Não;GOVERNO;-18.753115;1.3665012
MILTON VIEIRA;PRB;São Paulo;375;Não;Não;GOVERNO;-18.753115;1.3665012
PAULO TEIXEIRA;PT;São Paulo;376;Não;Não Votou;OPOSIÇÃO;0.79037523;-17.563234
POLICIAL KATIA SASTRE;PR;São Paulo;377;Não;Não Votou;GOVERNO;1.0728445;-17.131798
MIGUEL LOMBARDI;PR;São Paulo;378;Não;Não;GOVERNO;-18.753115;1.3665012
PR. MARCO FELICIANO;Podemos;São Paulo;379;Não Votou;Não;MINORIA;21.202093;-6.834076
PAULO FREIRE COSTA;PR;São Paulo;380;Não Votou;Não Votou;GOVERNO;10.856693;-1.104127
LUIZ FLÁVIO GOMES;PSB;São Paulo;381;Sim;Sim;OPOSIÇÃO;4.7228084;3.6842518
NILTO TATTO;PT;São Paulo;382;Não;Não Votou;OPOSIÇÃO;0.78791046;-17.565554
RICARDO IZAR;PP;São Paulo;383;Não;Não;GOVERNO;-18.753115;1.3665012
RODRIGO AGOSTINHO;PSB;São Paulo;384;Sim;Não;OPOSIÇÃO;20.826029;13.909657
ROBERTO DE LUCENA;Podemos;São Paulo;385;Não Votou;Não;MINORIA;21.20201;-6.8340673
ORLANDO SILVA;PCdoB;São Paulo;386;Sim;Sim;OPOSIÇÃO;4.723418;3.6851532
ROBERTO ALVES;PRB;São Paulo;387;Não Votou;Não;GOVERNO;21.202187;-6.834088
ROSANA VALLE;PSB;São Paulo;388;Não Votou;Não;OPOSIÇÃO;21.202053;-6.8341055
SAMUEL MOREIRA;PSDB;São Paulo;389;Sim;Sim;GOVERNO;4.723766;3.6848948
RUI FALCÃO;PT;São Paulo;390;Não;Não Votou;OPOSIÇÃO;0.76039827;-17.570429
SÂMIA BOMFIM;PSOL;São Paulo;391;Sim;Obstrução;OPOSIÇÃO;20.671965;13.695479
TIRIRICA;PR;São Paulo;392;Não;Não Votou;GOVERNO;1.7890545;-17.832716
TABATA AMARAL;PDT;São Paulo;393;Sim;Não Votou;MINORIA;2.8965466;19.143646
VANDERLEI MACRIS;PSDB;São Paulo;394;Não;Sim;GOVERNO;2.391353;-10.182866
VINICIUS POIT;NOVO;São Paulo;395;Sim;Sim;GOVERNO;4.723605;3.6848698
VICENTINHO;PT;São Paulo;396;Não;Não Votou;OPOSIÇÃO;1.7619869;-17.439384
VINICIUS CARVALHO;PRB;São Paulo;397;Sim;Não Votou;GOVERNO;2.8965392;19.143639
CARLOS ZARATTINI;PT;São Paulo;398;Não;Não Votou;OPOSIÇÃO;1.7875335;-17.835201
VITOR LIPPI;PSDB;São Paulo;399;Não;Não Votou;GOVERNO;0.7589161;-17.334953
JUAREZ COSTA;MDB;Mato Grosso;401;Não;Não;GOVERNO;-18.753115;1.3665012
DR. LEONARDO;Solidariedade;Mato Grosso;402;Não;Não;MINORIA;-18.753115;1.3665012
EMANUEL PINHEIRO NETO;PTB;Mato Grosso;403;Não;Não Votou;GOVERNO;1.4071857;-17.122711
JOSÉ MEDEIROS;Podemos;Mato Grosso;404;Não;Não;MINORIA;-18.753115;1.3665012
NELSON BARBUDO;PSL;Mato Grosso;405;Não;Sim;GOVERNO;2.390811;-10.183073
NERI GELLER;PP;Mato Grosso;406;Não;Não;GOVERNO;-18.753115;1.3665012
ERIKA KOKAY;PT;Distrito Federal;407;Não;Sim;OPOSIÇÃO;2.3907762;-10.182899
PROFESSORA ROSA NEIDE;PT;Mato Grosso;408;Não;Não Votou;OPOSIÇÃO;1.7499154;-17.422058
BIA KICIS;PSL;Distrito Federal;409;Não Votou;Sim;GOVERNO;6.987922;0.9303864
CELINA LEÃO;PP;Distrito Federal;410;Não;Não;GOVERNO;-18.753115;1.3665012
FLÁVIA ARRUDA;PR;Distrito Federal;411;Sim;Não;GOVERNO;21.261108;13.1684675
JULIO CESAR RIBEIRO;PRB;Distrito Federal;412;Não;Não;GOVERNO;-18.753115;1.3665012
PAULA BELMONTE;PPS;Distrito Federal;414;Sim;Não;MINORIA;21.161674;13.14676
PROFESSOR ISRAEL BATISTA;PV;Distrito Federal;415;Não;Não;MINORIA;-18.753115;1.3665012
ADRIANO DO BALDY;PP;Goiás;416;Não;Não;GOVERNO;-18.753115;1.3665012
CÉLIO SILVEIRA;PSDB;Goiás;417;Não;Não Votou;GOVERNO;1.7891068;-17.832571
JOÃO CAMPOS;PRB;Goiás;418;Não;Não;GOVERNO;-18.753115;1.3665012
ALCIDES RODRIGUES;PRP;Goiás;419;Não;Não;MINORIA;-18.753115;1.3665012
DR. ZACHARIAS CALIL;DEM;Goiás;420;Não;Não Votou;GOVERNO;1.1084827;-18.185303
DELEGADO WALDIR;PSL;Goiás;421;Não;Não Votou;GOVERNO;1.4488025;-17.147207
FLÁVIA MORAIS;PDT;Goiás;422;Não Votou;Não Votou;MINORIA;10.856263;-1.1032069
ELIAS VAZ;PSB;Goiás;423;Sim;Não;OPOSIÇÃO;21.395346;13.854663
FRANCISCO JR.;PSD;Goiás;424;Não;Não;GOVERNO;-18.753115;1.3665012
RUBENS OTONI;PT;Goiás;425;Não;Não Votou;OPOSIÇÃO;1.7541063;-17.42087
GLAUSTIN FOKUS;PSC;Goiás;426;Não;Não Votou;GOVERNO;1.7540725;-17.420805
JOSE MARIO SCHREINER;DEM;Goiás;427;Não;Não;GOVERNO;-18.753115;1.3665012
JOSÉ NELTO;Podemos;Goiás;428;Não Votou;Não;MINORIA;21.202076;-6.8341255
MAJOR VITOR HUGO;PSL;Goiás;429;Não Votou;Não Votou;GOVERNO;10.856092;-1.1025873
LUCAS VERGILIO;Solidariedade;Goiás;430;Não;Não;MINORIA;-18.753115;1.3665012
MAGDA MOFATTO;PR;Goiás;431;Não;Não;GOVERNO;-18.753115;1.3665012
PROFESSOR ALCIDES;PP;Goiás;432;Não;Não;GOVERNO;-18.753115;1.3665012
BETO PEREIRA;PSDB;Mato Grosso do Sul;433;Não;Sim;GOVERNO;2.390647;-10.182909
DAGOBERTO NOGUEIRA;PDT;Mato Grosso do Sul;434;Não;Não;MINORIA;-18.753115;1.3665012
DR. LUIZ OVANDO;PSL;Mato Grosso do Sul;435;Não;Não;GOVERNO;-18.753115;1.3665012
FÁBIO TRAD;PSD;Mato Grosso do Sul;436;Não;Não;GOVERNO;-18.753115;1.3665012
VANDER LOUBET;PT;Mato Grosso do Sul;438;Não;Obstrução;OPOSIÇÃO;-18.753115;1.3665012
LOESTER TRUTIS;PSL;Mato Grosso do Sul;439;Não Votou;Não;GOVERNO;21.202408;-6.8340893
ROSE MODESTO;PSDB;Mato Grosso do Sul;440;Não;Sim;GOVERNO;2.3911815;-10.183541
ALIEL MACHADO;PSB;Paraná;441;Sim;Não;OPOSIÇÃO;20.686222;13.400881
CHRISTIANE DE SOUZA YARED;PR;Paraná;442;Não;Não;GOVERNO;-18.753115;1.3665012
ALINE SLEUTJES;PSL;Paraná;443;Sim;Sim;GOVERNO;4.7236967;3.684488
AROLDO MARTINS;PRB;Paraná;444;Não;Não;GOVERNO;-18.753115;1.3665012
BOCA ABERTA;PROS;Paraná;445;Não Votou;Não;MINORIA;21.20223;-6.8340726
FELIPE FRANCISCHINI;PSL;Paraná;446;Não;Não;GOVERNO;-17.402538;0.88155776
DIEGO GARCIA;Podemos;Paraná;447;Sim;Não Votou;MINORIA;2.8958797;19.144386
HERMES PARCIANELLO;MDB;Paraná;448;Não Votou;Não;GOVERNO;21.20257;-6.8340855
ENIO VERRI;PT;Paraná;449;Não;Não Votou;OPOSIÇÃO;1.7874763;-17.835356
FILIPE BARROS;PSL;Paraná;450;Não;Não;GOVERNO;-18.753115;1.3665012
GLEISI HOFFMANN;PT;Paraná;451;Não;Não Votou;OPOSIÇÃO;1.4653455;-18.094046
GUSTAVO FRUET;PDT;Paraná;452;Não;Não Votou;MINORIA;1.4653445;-18.094046
LEANDRE;PV;Paraná;453;Não;Sim;MINORIA;2.3907287;-10.183436
LUISA CANZIANI;PTB;Paraná;454;Não;Não Votou;GOVERNO;1.4653455;-18.094046
VERMELHO;PSD;Paraná;455;Não;Não;GOVERNO;-18.753115;1.3665012
LUCIANO DUCCI;PSB;Paraná;457;Não Votou;Não;OPOSIÇÃO;21.202036;-6.8341107
PAULO EDUARDO MARTINS;PSC;Paraná;458;Sim;Sim;GOVERNO;4.723548;3.685263
LUIZ NISHIMORI;PR;Paraná;459;Não;Não;GOVERNO;-18.753115;1.3665012
RUBENS BUENO;PPS;Paraná;460;Sim;Não;MINORIA;20.908972;13.165236
PEDRO LUPION;DEM;Paraná;461;Não;Não;GOVERNO;-18.753115;1.3665012
RICARDO BARROS;PP;Paraná;462;Não Votou;Não;GOVERNO;21.20223;-6.834111
PROFESSOR LUIZÃO GOULART;PRB;Paraná;463;Não;Não;GOVERNO;-18.753115;1.3665012
SARGENTO FAHUR;PSD;Paraná;464;Não;Não;GOVERNO;-18.753115;1.3665012
GIACOBO;PR;Paraná;466;Não Votou;Não Votou;GOVERNO;10.855263;-1.103457
SERGIO SOUZA;MDB;Paraná;467;Não;Não;GOVERNO;-18.753115;1.3665012
ZECA DIRCEU;PT;Paraná;468;Não Votou;Não Votou;OPOSIÇÃO;10.855684;-1.1033351
SCHIAVINATO;PP;Paraná;469;Não;Não;GOVERNO;-18.753115;1.3665012
TONINHO WANDSCHEER;PROS;Paraná;470;Não;Não Votou;MINORIA;1.4653431;-18.094048
ANGELA AMIN;PP;Santa Catarina;471;Não;Sim;GOVERNO;2.3912342;-10.183426
CELSO MALDANER;MDB;Santa Catarina;472;Sim;Sim;GOVERNO;4.7237873;3.68398
CARLOS CHIODINI;MDB;Santa Catarina;473;Sim;Sim;GOVERNO;4.72364;3.6853886
CAROLINE DE TONI;PSL;Santa Catarina;474;Sim;Sim;GOVERNO;4.7230716;3.6843631
CORONEL ARMANDO;PSL;Santa Catarina;475;Sim;Não Votou;GOVERNO;2.8963654;19.143675
DANIEL FREITAS;PSL;Santa Catarina;476;Sim;Sim;GOVERNO;4.7239466;3.685239
CARMEN ZANOTTO;PPS;Santa Catarina;477;Sim;Não Votou;MINORIA;2.8962417;19.14364
DARCI DE MATOS;PSD;Santa Catarina;478;Não;Não;GOVERNO;-18.753115;1.3665012
FABIO SCHIOCHET;PSL;Santa Catarina;479;Não;Não;GOVERNO;-18.753115;1.3665012
GILSON MARQUES;NOVO;Santa Catarina;480;Sim;Sim;GOVERNO;4.723039;3.6844769
PEDRO UCZAI;PT;Santa Catarina;481;Não;Obstrução;OPOSIÇÃO;-18.753115;1.3665012
GEOVANIA DE SÁ;PSDB;Santa Catarina;482;Não Votou;Não Votou;GOVERNO;10.8556385;-1.1018403
ROGÉRIO PENINHA MENDONÇA;MDB;Santa Catarina;483;Não Votou;Sim;GOVERNO;6.9871154;0.93022305
HÉLIO COSTA;PRB;Santa Catarina;484;Não;Não;GOVERNO;-18.753115;1.3665012
RICARDO GUIDI;PSD;Santa Catarina;485;Sim;Não;GOVERNO;20.961725;13.96424
ALCEU MOREIRA;MDB;Rio Grande do Sul;486;Sim;Não;GOVERNO;20.908972;13.165236
AFONSO HAMM;PP;Rio Grande do Sul;487;Não Votou;Não;GOVERNO;21.202206;-6.834102
RODRIGO COELHO;PSB;Santa Catarina;488;Sim;Não;OPOSIÇÃO;21.469887;13.427724
BIBO NUNES;PSL;Rio Grande do Sul;489;Não;Não;GOVERNO;-18.753115;1.3665012
AFONSO MOTTA;PDT;Rio Grande do Sul;490;Não;Não Votou;MINORIA;1.4653438;-18.09404
DANIEL TRZECIAK;PSDB;Rio Grande do Sul;491;Não;Sim;GOVERNO;2.390732;-10.182883
CARLOS GOMES;PRB;Rio Grande do Sul;492;Não Votou;Não;GOVERNO;21.20229;-6.834052
GIOVANI FELTES;MDB;Rio Grande do Sul;494;Sim;Não;GOVERNO;20.678768;13.4218
DANRLEI DE DEUS HINTERHOLZ;PSD;Rio Grande do Sul;495;Sim;Não;GOVERNO;21.096567;13.143653
FERNANDA MELCHIONNA;PSOL;Rio Grande do Sul;496;Sim;Obstrução;OPOSIÇÃO;21.035246;13.977714
HENRIQUE FONTANA;PT;Rio Grande do Sul;498;Não;Sim;OPOSIÇÃO;2.391478;-10.182787
BOHN GASS;PT;Rio Grande do Sul;499;Não;Obstrução;OPOSIÇÃO;-18.753115;1.3665012
LIZIANE BAYER;PSB;Rio Grande do Sul;500;Sim;Não;OPOSIÇÃO;21.445986;13.764893
LUCAS REDECKER;PSDB;Rio Grande do Sul;501;Não Votou;Sim;GOVERNO;6.9887333;0.9301554
GIOVANI CHERINI;PR;Rio Grande do Sul;502;Não;Não;GOVERNO;-18.753115;1.3665012
MARCEL VAN HATTEM;NOVO;Rio Grande do Sul;503;Sim;Sim;GOVERNO;4.7230983;3.6852088
HEITOR SCHUCH;PSB;Rio Grande do Sul;504;Não Votou;Não;OPOSIÇÃO;21.20214;-6.834083
JERÔNIMO GOERGEN;PP;Rio Grande do Sul;505;Sim;Não;GOVERNO;21.07775;13.982901
MARCELO MORAES;PTB;Rio Grande do Sul;506;Não;Não;GOVERNO;-18.753115;1.3665012
MARCON;PT;Rio Grande do Sul;507;Sim;Obstrução;OPOSIÇÃO;20.908972;13.165236
MARIA DO ROSÁRIO;PT;Rio Grande do Sul;508;Não;Não Votou;OPOSIÇÃO;1.4653445;-18.094046
MARLON SANTOS;PDT;Rio Grande do Sul;509;Não Votou;Não;MINORIA;21.202314;-6.8340626
MAURÍCIO DZIEDRICKI;PTB;Rio Grande do Sul;511;Não Votou;Não;GOVERNO;21.202158;-6.834041
NEREU CRISPIM;PSL;Rio Grande do Sul;512;Não Votou;Não;GOVERNO;21.202091;-6.834089
PAULO PIMENTA;PT;Rio Grande do Sul;513;Não Votou;Não Votou;OPOSIÇÃO;10.855668;-1.1038483
PEDRO WESTPHALEN;PP;Rio Grande do Sul;514;Não;Não;GOVERNO;-18.753115;1.3665012
MÁRCIO BIOLCHI;MDB;Rio Grande do Sul;515;Não Votou;Não;GOVERNO;21.202135;-6.834087
POMPEO DE MATTOS;PDT;Rio Grande do Sul;516;Não;Não Votou;MINORIA;1.4653455;-18.094046
SANDERSON;PSL;Rio Grande do Sul;517;Não;Não;GOVERNO;-18.753115;1.3665012
JORGE BRAZ;PRB;Rio de Janeiro;518;Não;Não;GOVERNO;-18.753115;1.3665012
DAVID MIRANDA;PSOL;Rio de Janeiro;519;Não Votou;Obstrução;OPOSIÇÃO;21.202503;-6.834071
LUIS MIRANDA;DEM;Distrito Federal;525;Não;Sim;GOVERNO;2.3909817;-10.181206
MARCELO BRUM;PSL;Rio Grande do Sul;526;Não;Não;GOVERNO;-18.753115;1.3665012
EVANDRO ROMAN;PSD;Paraná;527;Não;Não;GOVERNO;-18.753115;1.3665012
REINHOLD STEPHANES JUNIOR;PSD;Paraná;528;Não;Não;GOVERNO;-18.753115;1.3665012
DARCÍSIO PERONDI;MDB;Rio Grande do Sul;529;Sim;Não;GOVERNO;20.9821;13.971694
TED CONTI;PSB;Espírito Santo;531;Sim;Não;OPOSIÇÃO;20.692783;13.385371
BIA CAVASSA;PSDB;Mato Grosso do Sul;532;Não;Sim;GOVERNO;2.3911092;-10.182451
ENÉIAS REIS;PSL;Minas Gerais;533;Não;Não;GOVERNO;-18.753115;1.3665012
SANTINI;PTB;Rio Grande do Sul;534;Sim;Não;GOVERNO;20.676847;13.7489195
VALTENIR PEREIRA;MDB;Mato Grosso;536;Não;Não Votou;GOVERNO;1.4653445;-18.094042
JOSEILDO RAMOS;PT;Bahia;537;Abstenção;Não Votou;OPOSIÇÃO;10.855829;-1.1039884
PAULO MAGALHÃES;PSD;Bahia;538;Não;Não;GOVERNO;-18.753115;1.3665012
GASTÃO VIEIRA;PROS;Maranhão;539;Não;Abstenção;MINORIA;1.7634255;-17.44267
MERLONG SOLANO;PT;Piauí;540;Não;Não Votou;OPOSIÇÃO;1.3876661;-17.115454
