Nome;Partido;Estado;Codigo;CD01O004O008658;CD01O004O008660;CD01O006O008679;CD01O008E008686;CD01O010O008688;CD01O010O008689;CD01O010O008694;CD01O010O008695;CD01O011O008696;CD01O011O008697;CD01O011O008698;CD01O011O008699;CD01O011O008700;CD01O011O008701;CD01O011O008702;CD01O012E008703;CD01O012E008704;CD01O012E008705;CD01O013E008706;Lado;tsne-1d-one;tsne-2d-two
JOÃO CAMPOS;PRB;Goiás;418;Não;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Sim;Não;Não;Sim;Não Votou;Sim;Não Votou;Sim;Não Votou;Não;GOVERNO;0.98159873;14.110472
ALCIDES RODRIGUES;PRP;Goiás;419;Não Votou;Não;Sim;Não Votou;Sim;Não;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Não;MINORIA;7.5789847;12.770281
DR. ZACHARIAS CALIL;DEM;Goiás;420;Não;Não;Sim;Não;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Não;GOVERNO;19.404263;17.125782
DELEGADO WALDIR;PSL;Goiás;421;Não;Não;Sim;Não Votou;Não;Não Votou;Não;Sim;Não Votou;Sim;Não;Não;Não Votou;Sim;Não Votou;Não Votou;Não;Sim;Obstrução;GOVERNO;21.503605;19.192741
FLÁVIA MORAIS;PDT;Goiás;422;Não;Não;Sim;Não;Não Votou;Não;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Não Votou;Não;Obstrução;MINORIA;-20.172678;-16.752733
ELIAS VAZ;PSB;Goiás;423;Sim;Sim;Não;Não;Sim;Não;Sim;Não;Sim;Não;Não;Sim;Não;Não;Não;Sim;Sim;Não;Não;OPOSIÇÃO;-29.238565;-18.156929
FRANCISCO JR.;PSD;Goiás;424;Não;Não;Sim;Não;Sim;Não;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Não;GOVERNO;10.090256;6.5068755
RUBENS OTONI;PT;Goiás;425;Não Votou;Obstrução;Não;Obstrução;Sim;Não;Sim;Não;Não Votou;Não;Não Votou;Sim;Obstrução;Não;Não;Obstrução;Sim;Não;Não Votou;OPOSIÇÃO;-18.573298;-21.80892
GLAUSTIN FOKUS;PSC;Goiás;426;Não;Não;Sim;Não;Sim;Não;Não;Sim;Não Votou;Sim;Não;Não Votou;Não Votou;Sim;Sim;Não;Não;Sim;Obstrução;GOVERNO;13.592187;9.17572
JOSE MARIO SCHREINER;DEM;Goiás;427;Não;Não;Abstenção;Não;Sim;Não;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Abstenção;Não;GOVERNO;8.537425;6.417725
JOSÉ NELTO;Podemos;Goiás;428;Não;Não;Não Votou;Não;Sim;Não;Sim;Sim;Não Votou;Sim;Não;Sim;Não;Sim;Sim;Não Votou;Sim;Não;Não;MINORIA;-0.37921402;-11.410858
MAJOR VITOR HUGO;PSL;Goiás;429;Não;Não Votou;Sim;Não Votou;Não;Sim;Não;Sim;Não Votou;Sim;Não;Não;Sim;Sim;Sim;Não;Não Votou;Sim;Não Votou;GOVERNO;21.093676;25.790163
LUCAS VERGILIO;Solidariedade;Goiás;430;Não Votou;Não;Sim;Não;Sim;Não;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não Votou;Não Votou;Sim;Não;MINORIA;5.1100955;8.664079
MAGDA MOFATTO;PR;Goiás;431;Não Votou;Não;Sim;Não;Sim;Não;Não;Não;Não Votou;Não;Não;Sim;Sim;Sim;Sim;Não;Não Votou;Sim;Não Votou;GOVERNO;8.719125;-0.084121436
PROFESSOR ALCIDES;PP;Goiás;432;Não;Não;Sim;Não;Sim;Sim;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Não;GOVERNO;17.614283;11.338281
BETO PEREIRA;PSDB;Mato Grosso do Sul;433;Não;Não;Sim;Não;Sim;Não;Não;Sim;Não Votou;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Não;GOVERNO;12.917762;9.731906
DAGOBERTO NOGUEIRA;PDT;Mato Grosso do Sul;434;Não Votou;Não;Sim;Não Votou;Sim;Não;Sim;Não;Sim;Não;Não;Não Votou;Não;Não;Não;Não;Sim;Não;Não;MINORIA;-20.327152;-13.191891
DR. LUIZ OVANDO;PSL;Mato Grosso do Sul;435;Não;Não;Não Votou;Sim;Não Votou;Não Votou;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Não Votou;GOVERNO;11.524948;18.610897
FÁBIO TRAD;PSD;Mato Grosso do Sul;436;Não;Não;Sim;Não Votou;Sim;Não;Não;Sim;Não;Sim;Não;Não;Não;Sim;Sim;Não;Sim;Sim;Não;GOVERNO;6.446764;5.8513274
VANDER LOUBET;PT;Mato Grosso do Sul;438;Não Votou;Obstrução;Não Votou;Não Votou;Sim;Não Votou;Sim;Não;Obstrução;Não;Não;Sim;Obstrução;Não;Não;Obstrução;Sim;Não;Não Votou;OPOSIÇÃO;-20.803696;-18.713678
LOESTER TRUTIS;PSL;Mato Grosso do Sul;439;Não Votou;Não;Sim;Não;Não;Sim;Não;Sim;Não Votou;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Não Votou;GOVERNO;21.195206;23.609705
ROSE MODESTO;PSDB;Mato Grosso do Sul;440;Não Votou;Não;Sim;Não;Sim;Não;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Não;GOVERNO;7.196251;10.628483
ALIEL MACHADO;PSB;Paraná;441;Não Votou;Sim;Não Votou;Não;Sim;Não;Sim;Não;Sim;Não;Não Votou;Não Votou;Não;Não;Não;Sim;Sim;Não;Não Votou;OPOSIÇÃO;-28.207098;-15.872546
CHRISTIANE DE SOUZA YARED;PR;Paraná;442;Não Votou;Não;Sim;Não;Sim;Não;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Não;Não;GOVERNO;-1.8906652;4.259443
ALINE SLEUTJES;PSL;Paraná;443;Não;Não;Sim;Não;Não;Sim;Não;Sim;Não Votou;Sim;Não;Não;Sim;Sim;Sim;Não Votou;Não Votou;Sim;Não;GOVERNO;23.146172;25.963549
AROLDO MARTINS;PRB;Paraná;444;Não;Não Votou;Sim;Não Votou;Sim;Não;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Não;GOVERNO;6.106973;-2.8886204
BOCA ABERTA;PROS;Paraná;445;Não Votou;Não;Não;Não;Sim;Não;Não;Sim;Não;Não;Não;Não;Não Votou;Não;Não;Não;Não Votou;Não;Não;MINORIA;-13.472524;-15.064844
FELIPE FRANCISCHINI;PSL;Paraná;446;Não;Não;Sim;Não Votou;Não;Sim;Não;Sim;Não Votou;Sim;Não;Não;Sim;Sim;Sim;Não Votou;Não;Sim;Não;GOVERNO;24.552584;25.423796
DIEGO GARCIA;Podemos;Paraná;447;Não Votou;Não Votou;Não;Obstrução;Sim;Não;Sim;Não;Não;Não;Não;Não Votou;Não;Sim;Sim;Não;Sim;Não;Obstrução;MINORIA;-22.899359;-26.024303
HERMES PARCIANELLO;MDB;Paraná;448;Não Votou;Não;Sim;Não Votou;Não Votou;Não Votou;Não;Não;Não Votou;Não;Não;Sim;Não;Sim;Sim;Não;Não;Não;Não Votou;GOVERNO;-3.2960305;-6.571693
ENIO VERRI;PT;Paraná;449;Não Votou;Obstrução;Não;Obstrução;Sim;Não;Sim;Não;Não Votou;Não;Não Votou;Sim;Obstrução;Não;Não;Obstrução;Sim;Não;Obstrução;OPOSIÇÃO;-18.797731;-21.730844
FILIPE BARROS;PSL;Paraná;450;Não Votou;Não Votou;Sim;Não;Não;Sim;Não;Sim;Não Votou;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Não;GOVERNO;20.204397;23.259956
GLEISI HOFFMANN;PT;Paraná;451;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;OPOSIÇÃO;-6.6457853;-11.111018
GUSTAVO FRUET;PDT;Paraná;452;Não;Não;Sim;Não Votou;Sim;Não Votou;Sim;Não;Sim;Não;Não;Sim;Não;Não;Não;Não;Sim;Não;Obstrução;MINORIA;-21.256815;-12.623951
LEANDRE;PV;Paraná;453;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Não;Sim;Sim;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Não Votou;Sim;Não Votou;MINORIA;-4.150522;-11.027091
LUISA CANZIANI;PTB;Paraná;454;Não;Não;Não Votou;Não;Não Votou;Não Votou;Não;Não;Não;Sim;Não Votou;Não;Sim;Sim;Sim;Não;Não;Sim;Não Votou;GOVERNO;11.434988;-1.627733
VERMELHO;PSD;Paraná;455;Não;Não;Sim;Não Votou;Sim;Não;Não;Sim;Não Votou;Sim;Não;Não;Sim;Sim;Sim;Não Votou;Não;Sim;Não Votou;GOVERNO;13.54369;11.897378
LUCIANO DUCCI;PSB;Paraná;457;Não;Não;Não Votou;Não Votou;Sim;Não;Sim;Não;Sim;Sim;Não;Sim;Sim;Não;Sim;Não;Sim;Não;Não Votou;OPOSIÇÃO;-14.744871;-10.43519
PAULO EDUARDO MARTINS;PSC;Paraná;458;Não;Não;Sim;Não;Sim;Não;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Não Votou;Sim;Não;GOVERNO;8.800127;4.9581547
LUIZ NISHIMORI;PR;Paraná;459;Não;Não;Sim;Não;Sim;Não Votou;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Não Votou;GOVERNO;16.054121;12.890364
RUBENS BUENO;PPS;Paraná;460;Não;Não Votou;Sim;Não;Sim;Não;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Não;Não;MINORIA;-2.4066603;2.9939818
PEDRO LUPION;DEM;Paraná;461;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não;Não;Sim;Não Votou;Sim;Não;Não;Sim;Sim;Sim;Não Votou;Não;Sim;Não;GOVERNO;9.979223;14.5668545
RICARDO BARROS;PP;Paraná;462;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não Votou;GOVERNO;-8.441729;-11.143974
PROFESSOR LUIZÃO GOULART;PRB;Paraná;463;Não;Sim;Sim;Não;Sim;Não;Sim;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Não;Não;Não;GOVERNO;-19.206993;-17.090065
SARGENTO FAHUR;PSD;Paraná;464;Não;Não;Sim;Não;Sim;Não;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Não;GOVERNO;11.769189;6.1406775
GIACOBO;PR;Paraná;466;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Sim;Não Votou;Sim;Não Votou;Não Votou;Sim;Sim;Sim;Não;Não;Sim;Não Votou;GOVERNO;12.7793255;17.470171
SERGIO SOUZA;MDB;Paraná;467;Não;Não;Sim;Não;Sim;Não Votou;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não Votou;Não Votou;Sim;Não;GOVERNO;17.264576;8.6795
ZECA DIRCEU;PT;Paraná;468;Obstrução;Obstrução;Não;Não Votou;Não Votou;Não;Não Votou;Não Votou;Não Votou;Não;Não Votou;Sim;Não Votou;Não;Não Votou;Obstrução;Sim;Não;Não Votou;OPOSIÇÃO;-16.115932;-24.77484
SCHIAVINATO;PP;Paraná;469;Não;Não;Sim;Não;Sim;Não;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Não Votou;GOVERNO;14.0484495;7.593564
TONINHO WANDSCHEER;PROS;Paraná;470;Não;Não;Sim;Não;Sim;Não;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Não;MINORIA;11.513782;7.220759
ANGELA AMIN;PP;Santa Catarina;471;Não Votou;Não Votou;Sim;Não Votou;Sim;Não;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não Votou;Não;Sim;Não;GOVERNO;9.090498;14.3466835
CELSO MALDANER;MDB;Santa Catarina;472;Não Votou;Não;Não;Não Votou;Sim;Não Votou;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Não Votou;GOVERNO;10.148342;17.71903
CARLOS CHIODINI;MDB;Santa Catarina;473;Não Votou;Não;Sim;Não Votou;Sim;Não Votou;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Não Votou;Não Votou;Não;Sim;Não Votou;GOVERNO;14.152059;14.786536
CAROLINE DE TONI;PSL;Santa Catarina;474;Não Votou;Não;Sim;Não;Não;Sim;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Não;GOVERNO;23.003904;21.972488
CORONEL ARMANDO;PSL;Santa Catarina;475;Não;Não;Sim;Não;Não;Não Votou;Não;Sim;Não Votou;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Não;GOVERNO;20.375252;20.22141
DANIEL FREITAS;PSL;Santa Catarina;476;Não;Não;Sim;Não;Não;Sim;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Não;GOVERNO;24.163383;22.92834
CARMEN ZANOTTO;PPS;Santa Catarina;477;Não;Não Votou;Sim;Não;Sim;Não;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Não Votou;Não;Não;MINORIA;-2.3329506;2.6444132
DARCI DE MATOS;PSD;Santa Catarina;478;Não;Não;Sim;Não;Sim;Não;Não;Sim;Não;Sim;Não Votou;Não;Sim;Sim;Sim;Não Votou;Não;Sim;Não;GOVERNO;13.901131;4.4639883
FABIO SCHIOCHET;PSL;Santa Catarina;479;Não;Não;Sim;Não Votou;Não;Não;Não;Sim;Não Votou;Sim;Não;Não;Sim;Sim;Sim;Não Votou;Não;Sim;Não;GOVERNO;20.285765;18.931412
GILSON MARQUES;NOVO;Santa Catarina;480;Não;Não;Sim;Não;Sim;Não;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Não;GOVERNO;11.118443;6.3588147
PEDRO UCZAI;PT;Santa Catarina;481;Obstrução;Obstrução;Não;Não Votou;Sim;Não;Sim;Não;Obstrução;Não;Não Votou;Sim;Não Votou;Não;Não;Obstrução;Sim;Não;Não Votou;OPOSIÇÃO;-17.844452;-24.627201
GEOVANIA DE SÁ;PSDB;Santa Catarina;482;Não;Não;Sim;Não Votou;Sim;Não Votou;Sim;Sim;Não;Sim;Não;Não;Sim;Não Votou;Sim;Não;Não;Sim;Art.;GOVERNO;5.048481;0.7873896
ROGÉRIO PENINHA MENDONÇA;MDB;Santa Catarina;483;Não Votou;Não;Sim;Não Votou;Sim;Não;Sim;Não;Obstrução;Não;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não;GOVERNO;-19.98916;-17.751793
HÉLIO COSTA;PRB;Santa Catarina;484;Não;Sim;Sim;Não;Sim;Não;Sim;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Não;Não;Sim;Não;GOVERNO;-6.7818556;-3.18201
RICARDO GUIDI;PSD;Santa Catarina;485;Não;Não;Sim;Não Votou;Sim;Não Votou;Não;Sim;Não;Não Votou;Não Votou;Não Votou;Sim;Sim;Sim;Não;Não;Sim;Não Votou;GOVERNO;17.401382;14.118837
ALCEU MOREIRA;MDB;Rio Grande do Sul;486;Não Votou;Não Votou;Não Votou;Não;Não Votou;Não Votou;Não;Não Votou;Não Votou;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Obstrução;GOVERNO;16.61241;21.376451
AFONSO HAMM;PP;Rio Grande do Sul;487;Não;Não;Sim;Não Votou;Sim;Não;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não Votou;Não;Sim;Não;GOVERNO;13.303728;2.696207
RODRIGO COELHO;PSB;Santa Catarina;488;Abstenção;Não Votou;Não Votou;Não Votou;Sim;Não;Não Votou;Não;Sim;Não;Não;Não;Sim;Não;Não;Não;Não;Sim;Não;OPOSIÇÃO;-11.175169;-4.8456173
BIBO NUNES;PSL;Rio Grande do Sul;489;Não Votou;Não;Sim;Não;Não Votou;Sim;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Não;GOVERNO;22.996443;20.999033
AFONSO MOTTA;PDT;Rio Grande do Sul;490;Não;Não;Sim;Não;Sim;Não;Sim;Não;Sim;Não;Não;Sim;Não;Não;Não;Não;Sim;Não;Não Votou;MINORIA;-21.790218;-13.314368
DANIEL TRZECIAK;PSDB;Rio Grande do Sul;491;Não;Não;Sim;Não;Sim;Não;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Não;GOVERNO;10.688794;6.657515
CARLOS GOMES;PRB;Rio Grande do Sul;492;Não;Não;Sim;Não;Sim;Não;Não;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Não Votou;Não;Sim;Não;GOVERNO;10.717948;-0.9262254
GIOVANI FELTES;MDB;Rio Grande do Sul;494;Não Votou;Não;Sim;Não;Sim;Não;Não;Sim;Não Votou;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Não;GOVERNO;9.451848;11.056976
DANRLEI DE DEUS HINTERHOLZ;PSD;Rio Grande do Sul;495;Não;Não Votou;Sim;Não;Não;Não;Não Votou;Sim;Sim;Não;Não Votou;Sim;Não;Sim;Sim;Não Votou;Não Votou;Sim;Sim;GOVERNO;-4.894894;-12.99395
FERNANDA MELCHIONNA;PSOL;Rio Grande do Sul;496;Obstrução;Obstrução;Não;Obstrução;Sim;Não;Sim;Obstrução;Obstrução;Não;Obstrução;Sim;Obstrução;Não;Não;Não Votou;Sim;Não;Obstrução;OPOSIÇÃO;-21.58776;-22.578157
HENRIQUE FONTANA;PT;Rio Grande do Sul;498;Não Votou;Obstrução;Não;Obstrução;Não Votou;Não Votou;Sim;Não;Não Votou;Não;Não;Sim;Não;Não;Não;Obstrução;Sim;Não;Obstrução;OPOSIÇÃO;-17.934265;-19.849382
BOHN GASS;PT;Rio Grande do Sul;499;Não Votou;Obstrução;Não;Obstrução;Não Votou;Não Votou;Sim;Não;Obstrução;Não;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não;Não Votou;OPOSIÇÃO;-16.326914;-25.890598
LIZIANE BAYER;PSB;Rio Grande do Sul;500;Não;Sim;Sim;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;OPOSIÇÃO;-5.68495;-11.61762
LUCAS REDECKER;PSDB;Rio Grande do Sul;501;Não;Não;Sim;Não;Sim;Não;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Não;GOVERNO;11.418498;5.737585
GIOVANI CHERINI;PR;Rio Grande do Sul;502;Não;Não;Sim;Não;Sim;Não;Não;Sim;Não;Sim;Não Votou;Não Votou;Sim;Sim;Sim;Não;Não;Sim;Não Votou;GOVERNO;16.42664;6.0488644
MARCEL VAN HATTEM;NOVO;Rio Grande do Sul;503;Não;Não;Sim;Não;Sim;Não;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Não;GOVERNO;10.101944;6.8465366
HEITOR SCHUCH;PSB;Rio Grande do Sul;504;Não;Sim;Não;Não Votou;Sim;Não;Sim;Não;Sim;Não Votou;Não;Sim;Não;Não;Não Votou;Sim;Sim;Não;Não;OPOSIÇÃO;-27.340494;-18.089779
JERÔNIMO GOERGEN;PP;Rio Grande do Sul;505;Não Votou;Não;Sim;Não;Sim;Não Votou;Não;Sim;Não Votou;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Não;GOVERNO;9.336463;11.612053
MARCELO MORAES;PTB;Rio Grande do Sul;506;Não Votou;Não;Sim;Não;Sim;Não;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Não;GOVERNO;-20.885904;-9.978199
MARCON;PT;Rio Grande do Sul;507;Não;Obstrução;Não;Não Votou;Sim;Não Votou;Sim;Sim;Obstrução;Não;Não Votou;Sim;Não Votou;Não;Não;Obstrução;Sim;Não;Obstrução;OPOSIÇÃO;-18.452063;-25.934488
MARIA DO ROSÁRIO;PT;Rio Grande do Sul;508;Não Votou;Obstrução;Não;Obstrução;Sim;Não Votou;Sim;Não;Obstrução;Não;Não Votou;Sim;Obstrução;Não;Não;Obstrução;Não Votou;Não;Obstrução;OPOSIÇÃO;-18.806776;-23.461771
MARLON SANTOS;PDT;Rio Grande do Sul;509;Não;Não;Sim;Não Votou;Sim;Não;Sim;Não;Sim;Não;Não;Sim;Não;Não;Não;Não Votou;Sim;Não;Não Votou;MINORIA;-22.204107;-12.693568
MAURÍCIO DZIEDRICKI;PTB;Rio Grande do Sul;511;Não;Não;Sim;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;GOVERNO;-7.076188;-8.86871
NEREU CRISPIM;PSL;Rio Grande do Sul;512;Não Votou;Não;Sim;Não;Não;Sim;Não;Sim;Não Votou;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Não;GOVERNO;21.435158;22.804043
PAULO PIMENTA;PT;Rio Grande do Sul;513;Não Votou;Não Votou;Não;Obstrução;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Não;Não Votou;Sim;Não Votou;Não;Não;Não Votou;Não Votou;Não;Não Votou;OPOSIÇÃO;-14.664864;-20.30169
PEDRO WESTPHALEN;PP;Rio Grande do Sul;514;Não;Não;Sim;Não Votou;Sim;Não;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não Votou;Não;Sim;Não;GOVERNO;13.1965475;2.787276
MÁRCIO BIOLCHI;MDB;Rio Grande do Sul;515;Não Votou;Não;Sim;Não;Não Votou;Não;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Obstrução;GOVERNO;5.837789;10.749228
POMPEO DE MATTOS;PDT;Rio Grande do Sul;516;Não;Não;Não Votou;Não Votou;Sim;Não;Sim;Não;Não;Não;Não Votou;Não;Não;Não;Não;Não Votou;Sim;Não;Não Votou;MINORIA;-13.493132;-23.972301
UBIRATAN SANDERSON;PSL;Rio Grande do Sul;517;Não Votou;Não;Não Votou;Não;Não;Não Votou;Não Votou;Sim;Não Votou;Sim;Não Votou;Não;Sim;Sim;Sim;Não;Não;Sim;Não;GOVERNO;18.693995;21.774645
JORGE BRAZ;PRB;Rio de Janeiro;518;Não;Não Votou;Sim;Não Votou;Sim;Não Votou;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Sim;Não;Não;GOVERNO;-10.594009;-15.6041975
DAVID MIRANDA;PSOL;Rio de Janeiro;519;Não;Obstrução;Não;Obstrução;Sim;Não;Sim;Obstrução;Obstrução;Não;Obstrução;Sim;Obstrução;Não;Não;Obstrução;Sim;Não;Obstrução;OPOSIÇÃO;-20.608047;-22.446785
LUIS MIRANDA;DEM;Distrito Federal;525;Não;Não;Sim;Não Votou;Sim;Não;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não Votou;Não;Sim;Não;GOVERNO;13.19658;2.7821977
MARCELO BRUM;PSL;Rio Grande do Sul;526;Não Votou;Não;Não Votou;Não;Não;Sim;Não;Sim;Não Votou;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Não;GOVERNO;20.814972;22.49938
EVANDRO ROMAN;PSD;Paraná;527;Não Votou;Não;Não Votou;Não Votou;Sim;Não Votou;Não;Sim;Não Votou;Sim;Não Votou;Não Votou;Sim;Sim;Sim;Não;Não;Sim;Não Votou;GOVERNO;12.719252;17.274012
REINHOLD STEPHANES JUNIOR;PSD;Paraná;528;Não;Não;Sim;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;GOVERNO;-7.0765967;-8.869079
DARCÍSIO PERONDI;MDB;Rio Grande do Sul;529;Não;Não;Não Votou;Não Votou;Não;Sim;Não;Sim;Não;Sim;Sim;Não;Sim;Sim;Sim;Não;Não;Sim;Obstrução;GOVERNO;26.22236;22.629206
TED CONTI;PSB;Espírito Santo;531;Não Votou;Sim;Sim;Não;Sim;Não;Sim;Não;Sim;Não;Não;Sim;Não;Não;Não;Sim;Sim;Não;Não;OPOSIÇÃO;-26.724865;-15.397724
BIA CAVASSA;PSDB;Mato Grosso do Sul;532;Não Votou;Não;Sim;Não;Sim;Não;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Não;GOVERNO;6.923787;10.441609
ENÉIAS REIS;PSL;Minas Gerais;533;Não Votou;Não;Sim;Não;Não;Sim;Não;Sim;Não Votou;Sim;Não;Não Votou;Não Votou;Sim;Sim;Não;Não;Sim;Não;GOVERNO;21.415575;21.834105
SANTINI;PTB;Rio Grande do Sul;534;Não;Não;Sim;Não;Sim;Não;Não;Sim;Não;Sim;Não;Não;Sim;Não;Não;Não;Não;Sim;Não;GOVERNO;3.993972;13.050025
