Nome;Partido;Estado;Codigo;CC01O007E008923;CD01O137E008915;CD01O137E008916;CD01O137E008917;CD01O137E008918;CD01O137E008919;CD01O137E008920;CD01O137E008921;CD01O137E008922;CD01O155E008925;CD01O155E008927;CD01O166O008930;CD01O166O008934;CD01O167E008936;CD01O170O008943;CD01O170O008950;CD01O171E008952;SF01O007E008924;Lado;tsne-1d-one;tsne-2d-two
HAROLDO CATHEDRAL;PSD;Roraima;1;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não Votou;Não Votou;Não Votou;Não;Não;Sim;Não;Sim;Sim;Não Votou;GOVERNO;6.581172;17.648087
EDIO LOPES;PL;Roraima;2;Sim;Sim;Não Votou;Sim;Sim;Sim;Sim;Não;Sim;Abstenção;Não Votou;Não;Não;Sim;Não;Não Votou;Sim;Não Votou;MINORIA;4.3063283;15.673539
JOENIA WAPICHANA;REDE;Roraima;3;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Obstrução;Obstrução;Não;Não;Sim;Não Votou;Não Votou;Não;Sim;OPOSIÇÃO;-5.8938074;-18.480722
HIRAN GONÇALVES;PP;Roraima;4;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não;Sim;Não Votou;Não Votou;Não Votou;Não;Não Votou;Não Votou;Não;Não Votou;Sim;GOVERNO;-3.9124327;5.5676284
JHONATAN DE JESUS;PRB;Roraima;5;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Sim;Não;Sim;Não Votou;Não Votou;GOVERNO;-11.665006;6.024951
NICOLETTI;PSL;Roraima;6;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Não Votou;Obstrução;Não;Não;Não;Não;Sim;GOVERNO;-10.103153;-2.3914053
OTACI NASCIMENTO;Solidariedade;Roraima;7;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não Votou;Não;Sim;Não;Sim;Sim;Sim;MINORIA;12.401935;21.186447
SHÉRIDAN;PSDB;Roraima;8;Não Votou;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não Votou;Não;Não;Sim;Não;Sim;Sim;Sim;GOVERNO;9.77746;18.53285
ANDRÉ ABDON;PP;Amapá;9;Sim;Sim;Sim;Não Votou;Não Votou;Sim;Sim;Não;Sim;Não;Não;Não;Não Votou;Sim;Não Votou;Sim;Sim;Sim;GOVERNO;2.8023436;11.566539
ACÁCIO FAVACHO;PROS;Amapá;10;Sim;Sim;Sim;Não Votou;Sim;Sim;Sim;Não Votou;Sim;Não Votou;Não Votou;Não;Não Votou;Sim;Não;Sim;Sim;Não Votou;MINORIA;3.6625183;18.56205
ALINE GURGEL;PRB;Amapá;11;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Sim;Sim;GOVERNO;2.3546724;23.271736
CAMILO CAPIBERIBE;PSB;Amapá;12;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Obstrução;Obstrução;Não;Não;Sim;Sim;Sim;Sim;Sim;OPOSIÇÃO;-14.606038;-20.207176
LEDA SADALA;Avate;Amapá;14;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não;Não Votou;Não Votou;Não Votou;MINORIA;7.7729278;5.186388
PROFESSORA MARCIVANIA;PCdoB;Amapá;15;Não Votou;Sim;Sim;Sim;Sim;Sim;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Sim;Não Votou;Sim;Sim;Sim;OPOSIÇÃO;-16.283125;-24.71865
VINICIUS GURGEL;PL;Amapá;16;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Sim;Sim;MINORIA;-9.909875;8.809764
LUIZ CARLOS;PSDB;Amapá;17;Sim;Sim;Sim;Sim;Sim;Não Votou;Sim;Não Votou;Sim;Não Votou;Sim;Não;Não;Sim;Não Votou;Sim;Sim;Não Votou;GOVERNO;4.1887426;21.412403
AIRTON FALEIRO;PT;Pará;18;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Obstrução;Obstrução;Não Votou;Não Votou;Sim;Não;Sim;Sim;Não Votou;OPOSIÇÃO;-21.321121;-19.632145
BETO FARO;PT;Pará;19;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Obstrução;Não Votou;Não Votou;Não;Sim;Não;Sim;Sim;Sim;OPOSIÇÃO;-19.670572;-22.29921
CÁSSIO ANDRADE;PSB;Pará;20;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Não;Obstrução;Não Votou;Não Votou;Sim;Sim;Sim;Sim;Sim;OPOSIÇÃO;-14.142577;-20.480429
ELCIONE BARBALHO;MDB;Pará;21;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não Votou;Sim;Não;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;GOVERNO;12.196764;-0.4881173
DELEGADO ÉDER MAURO;PSD;Pará;22;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não Votou;Não Votou;Não;Não Votou;Não Votou;Não;Não;Sim;GOVERNO;13.003473;-4.8212504
CELSO SABINO;PSDB;Pará;23;Sim;Sim;Não Votou;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Não Votou;Sim;Não;Não;Não;Sim;GOVERNO;7.4426126;-11.318669
CRISTIANO VALE;PL;Pará;25;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não Votou;Não;Não Votou;Sim;Não;Sim;Não;Sim;MINORIA;14.8295965;8.498855
JOSÉ PRIANTE;MDB;Pará;26;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não;Sim;Sim;GOVERNO;13.696961;-0.40780577
EDMILSON RODRIGUES;PSOL;Pará;27;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Obstrução;Obstrução;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;OPOSIÇÃO;-10.191141;-14.735582
EDUARDO COSTA;PTB;Pará;28;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Não Votou;Não Votou;Sim;Não;Sim;Sim;Sim;GOVERNO;-14.326914;5.664204
JÚNIOR FERRARI;PSD;Pará;29;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Sim;Não;Não;Não;Sim;GOVERNO;-6.6566534;-0.93675524
OLIVAL MARQUES;DEM;Pará;30;Sim;Não Votou;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Não;Sim;Não;Sim;Sim;Sim;GOVERNO;10.066776;15.107698
NILSON PINTO;PSDB;Pará;31;Não Votou;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não Votou;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;GOVERNO;7.993068;1.2669282
HÉLIO LEITE;DEM;Pará;32;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não Votou;Não;Sim;Não;Sim;Sim;Não Votou;GOVERNO;13.463871;19.493073
JOAQUIM PASSARINHO;PSD;Pará;33;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Art.51;GOVERNO;17.569435;-6.8962083
PAULO BENGTSON;PTB;Pará;34;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Não;Não Votou;Não Votou;Não;Sim;Sim;Sim;GOVERNO;-16.752214;6.247198
VAVÁ MARTINS;PRB;Pará;35;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Não Votou;Não;Não;Não;Sim;Sim;Sim;GOVERNO;-17.518305;6.580214
CAPITÃO ALBERTO NETO;PRB;Amazonas;36;Não Votou;Não Votou;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não Votou;Não;Não;Não;Sim;Sim;Sim;GOVERNO;18.84845;15.36292
BOSCO SARAIVA;Solidariedade;Amazonas;37;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não Votou;Não Votou;Não;Não;Sim;Não;Sim;Sim;Sim;MINORIA;7.345791;19.603365
ÁTILA LINS;PP;Amazonas;38;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não Votou;Não Votou;Não Votou;Não;Sim;Não;Sim;Não Votou;Sim;GOVERNO;7.8218155;23.216202
SILAS CÂMARA;PRB;Amazonas;39;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;GOVERNO;-8.001934;3.876703
DELEGADO PABLO;PSL;Amazonas;40;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;GOVERNO;11.218571;-0.53113776
JOSÉ RICARDO;PT;Amazonas;41;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Obstrução;Obstrução;Não;Não;Sim;Não;Sim;Sim;Sim;OPOSIÇÃO;-19.7443;-21.15923
MARCELO RAMOS;PL;Amazonas;42;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não Votou;Sim;Não;Não Votou;Não;Não;Sim;Não Votou;Sim;Não Votou;Sim;MINORIA;13.376315;11.085919
SIDNEY LEITE;PSD;Amazonas;43;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Não Votou;Não;Não Votou;Sim;Sim;Sim;GOVERNO;18.94178;13.982638
EXPEDITO NETTO;PSD;Rondonia;44;Não Votou;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Não Votou;Sim;Não;Não Votou;Sim;Não;Não;Sim;Sim;GOVERNO;-15.580684;-11.286309
CORONEL CHRISÓSTOMO;PSL;Rondonia;45;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não Votou;Sim;Não;Não;Não Votou;Obstrução;Não;Não;Não;Não;Não Votou;GOVERNO;18.407497;-7.892842
LUCIO MOSQUINI;MDB;Rondonia;46;Sim;Sim;Sim;Sim;Não Votou;Sim;Sim;Não Votou;Sim;Não Votou;Sim;Não Votou;Não;Sim;Não Votou;Sim;Sim;Sim;GOVERNO;4.424792;22.623743
JAQUELINE CASSOL;PP;Rondonia;47;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não Votou;Não Votou;Não Votou;Não;Sim;Não;Não;Não;Não Votou;GOVERNO;5.6733007;-7.4744473
LÉO MORAES;Podemos;Rondonia;48;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não Votou;Não;Não;Não;Sim;Não;Não;Não;Não Votou;MINORIA;5.856716;-9.30551
MAURO NAZIF;PSB;Rondonia;49;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;Sim;OPOSIÇÃO;-3.9732652;-17.521776
SILVIA CRISTINA;PDT;Rondonia;50;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Obstrução;Não Votou;Não;Não;Sim;Obstrução;Não;Não;Sim;MINORIA;-3.806766;-17.092953
MARIANA CARVALHO;PSDB;Rondonia;51;Sim;Sim;Sim;Não Votou;Sim;Sim;Sim;Não Votou;Não Votou;Não;Não;Não Votou;Não Votou;Sim;Não Votou;Sim;Sim;Sim;GOVERNO;17.0635;22.500675
JESUS SÉRGIO;PDT;Acre;52;Sim;Não Votou;Sim;Sim;Sim;Sim;Não;Não;Sim;Não Votou;Não Votou;Não;Não Votou;Não Votou;Obstrução;Obstrução;Sim;Sim;MINORIA;-14.840076;-11.380641
ALAN RICK;DEM;Acre;53;Sim;Não Votou;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não Votou;Não;Não;Não Votou;Sim;Não;Sim;Sim;Sim;GOVERNO;8.918472;14.35574
FLAVIANO MELO;MDB;Acre;54;Sim;Sim;Não Votou;Sim;Sim;Sim;Sim;Não;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Sim;Sim;GOVERNO;5.855688;11.051354
MANUEL MARCOS;PRB;Acre;55;Não Votou;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Não;Sim;Não;Sim;Sim;Sim;GOVERNO;10.195498;18.548338
JÉSSICA SALES;MDB;Acre;56;Não Votou;Sim;Não Votou;Sim;Sim;Sim;Sim;Não;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;GOVERNO;6.8391585;1.9034914
MARA ROCHA;PSDB;Acre;57;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;Sim;GOVERNO;7.4589286;-10.415009
PERPÉTUA ALMEIDA;PCdoB;Acre;58;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Não Votou;Não Votou;Não;Não;Sim;Não;Sim;Sim;Sim;OPOSIÇÃO;-19.95936;-23.630022
DRA. VANDA MILANI;Solidariedade;Acre;59;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não Votou;Não;Não;Não Votou;Não;Sim;Não;Sim;Sim;Sim;MINORIA;12.4322;21.67787
CARLOS HENRIQUE GAGUIM;DEM;Tocantins;60;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não Votou;Não;Não;Não;Não;Sim;Sim;Não Votou;GOVERNO;17.66187;14.960167
DULCE MIRANDA;MDB;Tocantins;61;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não Votou;Não Votou;Não Votou;Não;Sim;Não;Sim;Sim;Não Votou;GOVERNO;7.213819;21.352654
CÉLIO MOURA;PT;Tocantins;62;Sim;Sim;Sim;Sim;Não Votou;Não Votou;Não;Não;Sim;Abstenção;Abstenção;Não;Não;Sim;Não Votou;Sim;Sim;Sim;OPOSIÇÃO;-18.296791;-16.181265
ELI BORGES;Solidariedade;Tocantins;63;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não Votou;Sim;Não;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;MINORIA;12.196418;-0.48812324
OSIRES DAMASO;PSC;Tocantins;64;Sim;Sim;Sim;Sim;Sim;Não Votou;Sim;Não;Sim;Não;Não;Não;Não;Sim;Não;Sim;Não;Sim;GOVERNO;15.630894;9.035397
TIAGO DIMAS;Solidariedade;Tocantins;65;Sim;Sim;Sim;Não Votou;Sim;Sim;Sim;Não;Sim;Não Votou;Não;Não;Não;Sim;Não;Sim;Sim;Sim;MINORIA;8.533379;19.801025
VICENTINHO JÚNIOR;PL;Tocantins;66;Sim;Não Votou;Não Votou;Sim;Sim;Sim;Sim;Não;Sim;Não Votou;Não Votou;Não;Não Votou;Não Votou;Não;Sim;Sim;Sim;MINORIA;6.464672;12.916932
PROFESSORA DORINHA SEABRA REZEN;DEM;Tocantins;67;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Sim;Sim;Não;Não Votou;Não;Não;Sim;Não Votou;Não Votou;Sim;Não Votou;GOVERNO;-11.781556;10.8233185
ALUISIO MENDES;Podemos;Maranhão;68;Sim;Não Votou;Não Votou;Sim;Sim;Sim;Sim;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não;Sim;Não;Sim;Não Votou;Sim;MINORIA;7.8063474;23.865133
CLEBER VERDE;PRB;Maranhão;70;Sim;Sim;Não Votou;Sim;Sim;Sim;Sim;Não;Sim;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Sim;Sim;GOVERNO;5.861339;10.98364
BIRA DO PINDARÉ;PSB;Maranhão;71;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Obstrução;Obstrução;Não;Não;Sim;Sim;Abstenção;Sim;Sim;OPOSIÇÃO;-14.386278;-19.705118
ANDRÉ FUFUCA;PP;Maranhão;72;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Não;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Sim;Sim;GOVERNO;-9.548991;9.078354
EDILÁZIO JÚNIOR;PSD;Maranhão;73;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não Votou;Sim;Não Votou;Não;Não;Não;Sim;Não;Sim;Sim;Não Votou;GOVERNO;14.39297;14.634181
HILDO ROCHA;MDB;Maranhão;74;Sim;Sim;Não Votou;Não Votou;Não Votou;Sim;Sim;Não;Sim;Não;Não;Não;Não;Não Votou;Não;Não;Não;Sim;GOVERNO;7.2000327;-12.372457
EDUARDO BRAIDE;PMN;Maranhão;75;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não Votou;Não;Sim;Não;Não;Não;Sim;GOVERNO;7.8193054;-7.697489
JOÃO MARCELO SOUZA;MDB;Maranhão;76;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não;Sim;Não;Não Votou;Não Votou;Não;Sim;Não;Sim;Não;Sim;GOVERNO;-1.9285427;14.634518
GIL CUTRIM;PDT;Maranhão;77;Não Votou;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Obstrução;Não Votou;Não;Não Votou;Não Votou;Não;Obstrução;Sim;Sim;MINORIA;15.087756;-0.8690462
JOSIMAR MARANHÃOZINHO;PL;Maranhão;78;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não Votou;Não Votou;Não Votou;Não;Não Votou;Sim;Não Votou;Sim;Sim;Sim;MINORIA;2.2547505;21.978369
JUSCELINO FILHO;DEM;Maranhão;79;Não Votou;Sim;Sim;Sim;Sim;Sim;Sim;Não Votou;Sim;Não;Não;Não;Não;Sim;Não Votou;Sim;Sim;Sim;GOVERNO;10.604828;19.030416
JUNIOR LOURENÇO;PL;Maranhão;80;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Sim;Não;Sim;Sim;Sim;MINORIA;-13.092524;8.51441
MÁRCIO JERRY;PCdoB;Maranhão;82;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Não Votou;Não Votou;Não;Não;Sim;Não;Sim;Sim;Não Votou;OPOSIÇÃO;-20.304842;-24.097359
MARRECA FILHO;Patriota;Maranhão;83;Sim;Sim;Não Votou;Sim;Sim;Sim;Sim;Não;Sim;Não Votou;Não;Não;Não Votou;Sim;Não;Não;Não;Não Votou;MINORIA;5.497009;-10.29175
PASTOR GILDENEMYR;PMN;Maranhão;84;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Sim;Não;Não Votou;Sim;Sim;GOVERNO;2.433952;23.463583
PEDRO LUCAS FERNANDES;PTB;Maranhão;85;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Não;Sim;Não Votou;Não Votou;Não Votou;Sim;GOVERNO;12.230572;6.3572526
ZÉ CARLOS;PT;Maranhão;86;Não Votou;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Não Votou;Não Votou;Não;Não;Sim;Não;Sim;Sim;;OPOSIÇÃO;-20.901127;-24.65596
AJ ALBUQUERQUE;PP;Ceará;87;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não Votou;Não Votou;Não Votou;Não;Sim;Não Votou;Sim;Sim;;GOVERNO;6.0512395;21.996473
CAPITÃO WAGNER;PROS;Ceará;88;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Não;Não Votou;Sim;Não;Não Votou;Sim;;MINORIA;-15.553912;3.982446
ANDRÉ FIGUEIREDO;PDT;Ceará;89;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Obstrução;Obstrução;Sim;;MINORIA;-10.8686695;-7.802201
CÉLIO STUDART;PV;Ceará;90;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Não;Não;Não Votou;Não;Sim;Não;Não;Não;;MINORIA;-3.3155909;-18.63553
DENIS BEZERRA;PSB;Ceará;91;Sim;Sim;Não Votou;Sim;Sim;Sim;Não;Não;Sim;Não;Obstrução;Não;Não;Sim;Sim;Não;Sim;;OPOSIÇÃO;-13.712695;-18.152819
DR. JAZIEL;PL;Ceará;92;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;;MINORIA;-5.695841;4.7552342
EDUARDO BISMARCK;PDT;Ceará;93;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Obstrução;Não Votou;Não;Não Votou;Não Votou;Não Votou;Obstrução;Sim;;MINORIA;-13.485704;-12.691445
HEITOR FREIRE;PSL;Ceará;94;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não;Sim;Não Votou;Não Votou;Não Votou;Sim;Não;Não;Não Votou;Não;;GOVERNO;-2.8641868;2.0495622
IDILVAN ALENCAR;PDT;Ceará;95;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Obstrução;Não;Não Votou;Sim;Não Votou;Não;Sim;;MINORIA;-15.891964;1.6112599
LEÔNIDAS CRISTINO;PDT;Ceará;96;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Obstrução;Não Votou;Não Votou;Não Votou;Não Votou;Obstrução;Obstrução;Sim;;MINORIA;-14.442279;-13.514096
DOMINGOS NETO;PSD;Ceará;97;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não;Sim;Não Votou;Não Votou;Não;Não Votou;Não Votou;Não;Não Votou;Não Votou;;GOVERNO;-3.0544796;3.4351454
LUIZIANNE LINS;PT;Ceará;98;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Sim;Sim;;OPOSIÇÃO;-10.4111185;7.898129
GENECIAS NORONHA;Solidariedade;Ceará;99;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Não;Não Votou;Sim;Não;Não Votou;Não Votou;;MINORIA;-7.3017945;5.2836733
JÚNIOR MANO;PL;Ceará;100;Sim;Sim;Não Votou;Não Votou;Não Votou;Sim;Sim;Não;Sim;Não;Não;Não Votou;Não;Sim;Não Votou;Não Votou;Sim;;MINORIA;-0.21537629;11.764137
JOSÉ AIRTON CIRILO;PT;Ceará;101;Sim;Não Votou;Sim;Sim;Sim;Sim;Não;Não;Sim;Não Votou;Não Votou;Não Votou;Não;Sim;Não Votou;Sim;Sim;;OPOSIÇÃO;-18.518673;-23.647327
JOSÉ GUIMARÃES;PT;Ceará;103;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Não Votou;Não Votou;Não Votou;Não;Não;Sim;Não;Sim;Sim;;OPOSIÇÃO;-19.551191;-24.34256
PEDRO AUGUSTO BEZERRA;PTB;Ceará;104;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não Votou;Não;Sim;Não;Sim;Sim;;GOVERNO;12.9924555;20.319675
ROBÉRIO MONTEIRO;PDT;Ceará;105;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não Votou;Sim;Não;Não Votou;Não;Não Votou;Não Votou;Obstrução;Obstrução;Sim;;MINORIA;-14.539902;-12.44455
MOSES RODRIGUES;MDB;Ceará;106;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não;Sim;Não Votou;Não Votou;Não;Não;Sim;Não;Não Votou;Não Votou;;GOVERNO;-2.916316;3.8034024
