Nome;Partido;Estado;Codigo;CC01O007E008923;CD01O137E008915;CD01O137E008916;CD01O137E008917;CD01O137E008918;CD01O137E008919;CD01O137E008920;CD01O137E008921;CD01O137E008922;CD01O155E008925;CD01O155E008927;CD01O166O008930;CD01O166O008934;CD01O167E008936;CD01O170O008943;CD01O170O008950;CD01O171E008952;SF01O007E008924;Lado;tsne-1d-one;tsne-2d-two
FRANCISCO JR.;PSD;Goiás;424;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Não Votou;Sim;Não;Não;Não;;GOVERNO;8.118904;-9.222425
RUBENS OTONI;PT;Goiás;425;Não Votou;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Não Votou;Não Votou;Não Votou;Não;Sim;Não;Sim;Não Votou;;OPOSIÇÃO;-21.68352;-24.994453
GLAUSTIN FOKUS;PSC;Goiás;426;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Não;Não;Não;Não Votou;Sim;Não;;GOVERNO;-11.275992;1.2436182
JOSE MARIO SCHREINER;DEM;Goiás;427;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Não Votou;Não;Sim;Não;Sim;Sim;;GOVERNO;-14.4791355;6.797818
JOSÉ NELTO;Podemos;Goiás;428;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Não;;MINORIA;-9.245787;0.6681099
MAJOR VITOR HUGO;PSL;Goiás;429;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não Votou;Não Votou;Sim;Não Votou;Não;Não;;GOVERNO;-8.272093;-1.1814849
LUCAS VERGILIO;Solidariedade;Goiás;430;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Não Votou;Sim;Não;Não;Não;;MINORIA;-7.2123475;-0.96721935
MAGDA MOFATTO;PL;Goiás;431;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Não Votou;Não Votou;Sim;Não;Não;Sim;;MINORIA;-15.267376;2.2778618
PROFESSOR ALCIDES;PP;Goiás;432;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Não;Não;Sim;Não;Sim;Sim;;GOVERNO;-15.226846;6.620636
BETO PEREIRA;PSDB;Mato Grosso do Sul;433;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não Votou;Não;Não Votou;Não Votou;Não;Sim;Sim;;GOVERNO;-15.975449;5.410279
DAGOBERTO NOGUEIRA;PDT;Mato Grosso do Sul;434;Sim;Sim;Sim;Sim;Não Votou;Não Votou;Não;Não;Sim;Obstrução;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;;MINORIA;-10.596938;-12.681373
DR. LUIZ OVANDO;PSL;Mato Grosso do Sul;435;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Sim;Obstrução;Sim;Não;Não;Não;;GOVERNO;9.115343;-6.5071273
FÁBIO TRAD;PSD;Mato Grosso do Sul;436;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Não;Sim;Não;Não;Sim;;GOVERNO;16.783508;0.38216296
VANDER LOUBET;PT;Mato Grosso do Sul;438;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Obstrução;Não Votou;Não Votou;Não Votou;Não Votou;Não;Sim;Sim;;OPOSIÇÃO;-15.142457;-16.064001
LOESTER TRUTIS;PSL;Mato Grosso do Sul;439;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não Votou;Sim;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Não;Não;Não;;GOVERNO;16.091848;-12.132753
ROSE MODESTO;PSDB;Mato Grosso do Sul;440;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;;GOVERNO;7.0660024;-9.607194
ALIEL MACHADO;PSB;Paraná;441;Sim;Sim;Não Votou;Sim;Não Votou;Sim;Não Votou;Não;Sim;Não Votou;Obstrução;Não;Não Votou;Sim;Não Votou;Não Votou;Não;;OPOSIÇÃO;2.6248035;-6.755751
CHRISTIANE DE SOUZA YARED;PL;Paraná;442;Sim;Sim;Não Votou;Sim;Sim;Sim;Sim;Não;Sim;Não Votou;Não Votou;Não Votou;Não;Sim;Não;Não;Sim;;MINORIA;4.125394;15.1843605
ALINE SLEUTJES;PSL;Paraná;443;Sim;Abstenção;Não Votou;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não Votou;Sim;Não;Não;Não;Não;;GOVERNO;21.280107;-12.316608
AROLDO MARTINS;PRB;Paraná;444;Sim;Sim;Sim;Sim;Sim;Abstenção;Sim;Não;Sim;Não;Não;Não;Não;Sim;Não;Sim;Sim;;GOVERNO;12.869399;15.338103
BOCA ABERTA;PROS;Paraná;445;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não Votou;Sim;Sim;Sim;Não;Não;Sim;Não Votou;Não;Não;;MINORIA;-4.930677;-15.651053
FELIPE FRANCISCHINI;PSL;Paraná;446;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Sim;Obstrução;Não;Não Votou;Não Votou;Não Votou;;GOVERNO;15.759194;-4.4382734
DIEGO GARCIA;Podemos;Paraná;447;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Sim;Não;Sim;Não;Não;Não;;MINORIA;9.115455;-6.506761
HERMES PARCIANELLO;MDB;Paraná;448;Não Votou;Não Votou;Sim;Sim;Não Votou;Não Votou;Sim;Não;Sim;Não;Não Votou;Não;Não Votou;Não Votou;Não Votou;Não Votou;Sim;;GOVERNO;0.6369056;4.4139123
ENIO VERRI;PT;Paraná;449;Não Votou;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Obstrução;Obstrução;Não;Não;Sim;Não Votou;Sim;Não Votou;;OPOSIÇÃO;-16.466097;-20.775208
FILIPE BARROS;PSL;Paraná;450;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não Votou;Não Votou;Não;Sim;Não;Não;;GOVERNO;15.1420555;-6.8838396
GLEISI HOFFMANN;PT;Paraná;451;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Obstrução;Não Votou;Não Votou;Não Votou;Não Votou;Não;Sim;Não Votou;;OPOSIÇÃO;-12.597009;4.4983354
GUSTAVO FRUET;PDT;Paraná;452;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Sim;;MINORIA;-13.424994;-13.111802
LEANDRE;PV;Paraná;453;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Não Votou;Não Votou;Sim;Não Votou;Não;Não;;MINORIA;-8.767792;-1.2533388
LUISA CANZIANI;PTB;Paraná;454;Sim;Sim;Sim;Sim;Não Votou;Sim;Sim;Não;Não Votou;Não Votou;Não;Não;Não;Não Votou;Não Votou;Não;Não;;GOVERNO;9.661681;-11.227332
VERMELHO;PSD;Paraná;455;Não Votou;Sim;Não Votou;Sim;Sim;Sim;Sim;Não Votou;Sim;Não;Não;Não;Não;Não Votou;Não;Não;Sim;;GOVERNO;16.469875;-0.63487947
LUCIANO DUCCI;PSB;Paraná;457;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Não;Não Votou;Não;Não Votou;Sim;Sim;Sim;Não;;OPOSIÇÃO;-10.044247;-20.305864
PAULO EDUARDO MARTINS;PSC;Paraná;458;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Sim;Não;Não;Não Votou;Sim;Não;Não Votou;Não;Não;;GOVERNO;16.521786;-15.1723585
LUIZ NISHIMORI;PL;Paraná;459;Sim;Sim;Não Votou;Não Votou;Não Votou;Sim;Sim;Não;Não Votou;Não;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;;MINORIA;5.494704;0.36459738
RUBENS BUENO;CIDADANIA;Paraná;460;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não Votou;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;;MINORIA;8.9563265;1.9684563
PEDRO LUPION;DEM;Paraná;461;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não Votou;Sim;Não Votou;Não Votou;Não;Não;Sim;Não Votou;Sim;Não;;GOVERNO;13.214224;9.529877
RICARDO BARROS;PP;Paraná;462;Sim;Sim;Sim;Não Votou;Sim;Sim;Sim;Não;Sim;Não Votou;Não Votou;Não Votou;Não;Sim;Não;Sim;Sim;;GOVERNO;6.6341662;20.90443
LUIZÃO GOULART;PRB;Paraná;463;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Não;Sim;Não;Sim;Não;;GOVERNO;16.552177;8.780226
SARGENTO FAHUR;PSD;Paraná;464;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;;GOVERNO;7.1183753;-9.43808
GIACOBO;PL;Paraná;466;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Sim;Não Votou;;MINORIA;-8.470823;6.217006
SERGIO SOUZA;MDB;Paraná;467;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não Votou;Não Votou;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;;GOVERNO;8.328332;3.5738819
ZECA DIRCEU;PT;Paraná;468;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não;Sim;Não Votou;Sim;Não Votou;;OPOSIÇÃO;-11.076798;6.0407934
SCHIAVINATO;PP;Paraná;469;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Não;Sim;Não Votou;Sim;Sim;;GOVERNO;14.315571;17.088219
TONINHO WANDSCHEER;PROS;Paraná;470;Sim;Sim;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não;Não;Sim;;MINORIA;-18.528435;1.2686304
ANGELA AMIN;PP;Santa Catarina;471;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não Votou;Não Votou;Não;Não;Sim;Não;Não;Não;;GOVERNO;5.236417;-8.237957
CELSO MALDANER;MDB;Santa Catarina;472;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não Votou;Não;Não;Sim;Não;;GOVERNO;-11.4014635;2.8952594
CARLOS CHIODINI;MDB;Santa Catarina;473;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não Votou;Não Votou;Não;Não;Não Votou;Não;Sim;Não;Sim;Não;;GOVERNO;17.015306;10.727434
CAROLINE DE TONI;PSL;Santa Catarina;474;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Sim;Sim;Não;Não Votou;Não;Não;;GOVERNO;19.131224;-11.965589
CORONEL ARMANDO;PSL;Santa Catarina;475;Sim;Sim;Sim;Não Votou;Sim;Sim;Sim;Não Votou;Sim;Não;Não;Sim;Não;Não;Não;Não;Não;;GOVERNO;18.319958;-8.75096
DANIEL FREITAS;PSL;Santa Catarina;476;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Sim;Não Votou;Não;Não Votou;Não;Não;;GOVERNO;18.31464;-11.251996
CARMEN ZANOTTO;CIDADANIA;Santa Catarina;477;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Não Votou;Sim;Não Votou;Não;Não;;MINORIA;9.286553;-9.563161
DARCI DE MATOS;PSD;Santa Catarina;478;Sim;Sim;Sim;Não Votou;Sim;Não Votou;Sim;Não;Não Votou;Não;Não;Não;Não;Sim;Não;Não;Não;;GOVERNO;5.2958136;-11.564368
FABIO SCHIOCHET;PSL;Santa Catarina;479;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Obstrução;Não;Não;Não;Não;;GOVERNO;19.101274;-7.0752172
GILSON MARQUES;NOVO;Santa Catarina;480;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não Votou;Não Votou;Sim;Sim;Não;Não;Não;Não;;GOVERNO;18.255096;-13.152038
PEDRO UCZAI;PT;Santa Catarina;481;Sim;Sim;Sim;Não Votou;Não;Não;Não;Não;Não Votou;Obstrução;Não Votou;Não;Não;Sim;Não Votou;Sim;Sim;;OPOSIÇÃO;-20.058598;-14.679218
GEOVANIA DE SÁ;PSDB;Santa Catarina;482;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não Votou;Não;Art.;Art.;Não;Sim;Art.;;GOVERNO;9.575031;11.789854
ROGÉRIO PENINHA MENDONÇA;MDB;Santa Catarina;483;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não Votou;Não Votou;Não;Não Votou;Não;Não;Não;Não;;GOVERNO;21.626694;-7.7364154
HÉLIO COSTA;PRB;Santa Catarina;484;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não Votou;Não Votou;Não Votou;Não;Sim;Não;Sim;Sim;;GOVERNO;7.213898;21.353802
RICARDO GUIDI;PSD;Santa Catarina;485;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Não;Sim;Não;Sim;Sim;;GOVERNO;12.683413;16.994663
ALCEU MOREIRA;MDB;Rio Grande do Sul;486;Não Votou;Sim;Não Votou;Sim;Sim;Não Votou;Sim;Não Votou;Não Votou;Não;Não Votou;Não;Não;Sim;Não Votou;Não Votou;Não;;GOVERNO;3.7166197;-3.2899587
AFONSO HAMM;PP;Rio Grande do Sul;487;Sim;Sim;Sim;Sim;Sim;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Sim;Não;Sim;Sim;;GOVERNO;6.3349576;16.900679
RODRIGO COELHO;PSB;Santa Catarina;488;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Não;Sim;Não;Sim;Não;;OPOSIÇÃO;16.552958;8.781128
BIBO NUNES;PSL;Rio Grande do Sul;489;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não Votou;Sim;Não Votou;Não;Não Votou;Obstrução;Não;Não;Não;Não;;GOVERNO;18.831572;-7.338254
AFONSO MOTTA;PDT;Rio Grande do Sul;490;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Obstrução;Obstrução;Sim;;MINORIA;-14.75035;-12.583403
DANIEL TRZECIAK;PSDB;Rio Grande do Sul;491;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Não;Sim;Não Votou;Não;Não;;GOVERNO;8.61644;-9.861842
CARLOS GOMES;PRB;Rio Grande do Sul;492;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não Votou;Sim;Não Votou;Não Votou;Não;Não;Sim;Não Votou;Sim;Sim;;GOVERNO;4.315365;20.60526
GIOVANI FELTES;MDB;Rio Grande do Sul;494;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não Votou;Não;Não Votou;Não;Sim;Não Votou;Sim;Sim;;GOVERNO;10.904273;23.106037
DANRLEI DE DEUS HINTERHOLZ;PSD;Rio Grande do Sul;495;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não;Não;Não;;GOVERNO;-6.033073;-2.5498114
FERNANDA MELCHIONNA;PSOL;Rio Grande do Sul;496;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Não Votou;Não Votou;Não;Não;Sim;Não Votou;Obstrução;Não;;OPOSIÇÃO;-4.9118376;-16.36056
HENRIQUE FONTANA;PT;Rio Grande do Sul;498;Sim;Sim;Sim;Não Votou;Não Votou;Não Votou;Não;Não;Sim;Obstrução;Obstrução;Não;Não;Sim;Não;Não Votou;Sim;;OPOSIÇÃO;-22.101461;-17.724012
BOHN GASS;PT;Rio Grande do Sul;499;Não Votou;Sim;Não Votou;Não Votou;Sim;Sim;Não;Não Votou;Não Votou;Não Votou;Obstrução;Não;Não;Sim;Não Votou;Sim;Sim;;OPOSIÇÃO;-15.423418;-23.387556
LIZIANE BAYER;PSB;Rio Grande do Sul;500;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Obstrução;Não;Não;Não;Sim;Não Votou;Sim;Sim;;OPOSIÇÃO;-17.832497;-20.757784
LUCAS REDECKER;PSDB;Rio Grande do Sul;501;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não Votou;Não Votou;Não Votou;Não;Não;Sim;Não;Sim;Não;;GOVERNO;12.4868355;8.941053
GIOVANI CHERINI;PL;Rio Grande do Sul;502;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não Votou;Sim;Não Votou;Não Votou;Não;Não;Sim;Não Votou;Sim;Sim;;MINORIA;4.3154106;20.605717
MARCEL VAN HATTEM;NOVO;Rio Grande do Sul;503;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Sim;Sim;Não;Não;Não;Não;;GOVERNO;19.756002;-12.749279
HEITOR SCHUCH;PSB;Rio Grande do Sul;504;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Não Votou;Não Votou;Não Votou;Não;Não;Sim;Não Votou;Sim;Sim;;OPOSIÇÃO;-17.447514;-23.897308
JERÔNIMO GOERGEN;PP;Rio Grande do Sul;505;Sim;Não Votou;Sim;Sim;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não Votou;Sim;Não;Não Votou;Sim;;GOVERNO;-18.707201;1.7810088
MARCELO MORAES;PTB;Rio Grande do Sul;506;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;;GOVERNO;10.141923;-0.6455575
MARCON;PT;Rio Grande do Sul;507;Sim;Sim;Sim;Sim;Sim;Sim;Não Votou;Não;Sim;Não Votou;Não;Não;Não;Sim;Não Votou;Sim;Sim;;OPOSIÇÃO;-16.641956;-19.440552
MARIA DO ROSÁRIO;PT;Rio Grande do Sul;508;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Não Votou;Obstrução;Obstrução;Não;Não;Sim;Não Votou;Sim;Sim;;OPOSIÇÃO;-17.439997;-21.614082
MARLON SANTOS;PDT;Rio Grande do Sul;509;Sim;Sim;Sim;Sim;Sim;Não Votou;Não;Não;Sim;Não Votou;Não Votou;Não;Não Votou;Não Votou;Não Votou;Obstrução;Sim;;MINORIA;-13.194641;-12.20983
MAURÍCIO DZIEDRICKI;PTB;Rio Grande do Sul;511;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não Votou;Não Votou;Não;Não;Sim;Não;Sim;Sim;;GOVERNO;6.366755;18.885391
NEREU CRISPIM;PSL;Rio Grande do Sul;512;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;;GOVERNO;10.510525;0.44693276
PAULO PIMENTA;PT;Rio Grande do Sul;513;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Sim;Não Votou;;OPOSIÇÃO;-9.333038;6.8724346
PEDRO WESTPHALEN;PP;Rio Grande do Sul;514;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não Votou;Não;Sim;Não Votou;Não;Não;;GOVERNO;9.895116;-7.923818
MÁRCIO BIOLCHI;MDB;Rio Grande do Sul;515;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não Votou;Sim;Não;Não;Não Votou;Não;Sim;Não;Sim;Sim;;GOVERNO;15.598993;19.15882
POMPEO DE MATTOS;PDT;Rio Grande do Sul;516;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Não Votou;Não Votou;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;;MINORIA;-11.762686;-13.567501
SANDERSON;PSL;Rio Grande do Sul;517;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não Votou;Não Votou;Não;Não;Não;Não;;GOVERNO;19.122534;-9.885816
JORGE BRAZ;PRB;Rio de Janeiro;518;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Não;Não Votou;Não;Sim;Sim;;GOVERNO;10.9210615;16.377344
DAVID MIRANDA;PSOL;Rio de Janeiro;519;Sim;Sim;Sim;Sim;Não Votou;Sim;Não;Não;Sim;Obstrução;Obstrução;Não Votou;Não;Sim;Obstrução;Não Votou;Não;;OPOSIÇÃO;-3.5985172;-19.524807
LUIS MIRANDA;DEM;Distrito Federal;525;Sim;Não Votou;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Não Votou;Sim;Não;Sim;Sim;;GOVERNO;10.693059;14.059045
MARCELO BRUM;PSL;Rio Grande do Sul;526;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Sim;Obstrução;Não;Não;Não;Não;;GOVERNO;17.090794;-9.096582
EVANDRO ROMAN;PSD;Paraná;527;Sim;Sim;Não Votou;Sim;Sim;Sim;Sim;Não;Não Votou;Não;Não;Não;Não;Sim;Não;Não;Não;;GOVERNO;6.4117928;-10.926713
REINHOLD STEPHANES JUNIOR;PSD;Paraná;528;Sim;Sim;Sim;Não Votou;Sim;Sim;Sim;Não;Sim;Não;Não;Não Votou;Não;Não;Não Votou;Não;Não;;GOVERNO;16.375639;-7.107006
DARCÍSIO PERONDI;MDB;Rio Grande do Sul;529;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não Votou;Sim;Não;Não;Não;Sim;Não;Não Votou;Não;Não;;GOVERNO;21.930807;-10.086219
TED CONTI;PSB;Espírito Santo;531;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Obstrução;Obstrução;Não;Não;Sim;Sim;Não;Não;;OPOSIÇÃO;-6.701219;-17.658134
BIA CAVASSA;PSDB;Mato Grosso do Sul;532;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não Votou;Sim;Não;Não;Não;Não;Sim;Não;Sim;Não;;GOVERNO;16.342964;9.858563
ENÉIAS REIS;PSL;Minas Gerais;533;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não Votou;Sim;Não Votou;Não;Não Votou;Não Votou;Sim;Não Votou;Não;Não;;GOVERNO;11.6162615;-6.1313167
SANTINI;PTB;Rio Grande do Sul;534;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não Votou;Sim;Não;Não;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Sim;;GOVERNO;12.21983;2.617107
VALTENIR PEREIRA;MDB;Mato Grosso;536;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não Votou;Sim;Não;Não;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Não Votou;;GOVERNO;11.9917145;1.8393756
JOSEILDO RAMOS;PT;Bahia;537;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Obstrução;Obstrução;Não;Não;Sim;Não;Sim;Sim;;OPOSIÇÃO;-20.527458;-20.933212
PAULO MAGALHÃES;PSD;Bahia;538;Sim;Sim;Não Votou;Não Votou;Sim;Sim;Sim;Não;Sim;Não Votou;Não;Não Votou;Não Votou;Sim;Não;Sim;Sim;;GOVERNO;0.49724013;18.291443
GASTÃO VIEIRA;PROS;Maranhão;539;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Sim;Não;;MINORIA;11.446987;8.43393
ANÍBAL GOMES;DEM;Ceará;541;Sim;Sim;Sim;Sim;Não Votou;Não Votou;Não;Não;Sim;Não Votou;Não Votou;Não Votou;Não;Sim;Não Votou;Não Votou;Sim;;GOVERNO;-17.506008;-15.77687
PAES LANDIM;PTB;Piauí;542;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Sim;;GOVERNO;-5.5497303;9.059822
